cidade,uf,ano,secao,item,custo_rs_ha,custo_rs_60kg,participacao_pct,produtividade_kg_ha,participacao_ct_pct
Assis Chateaubriand,PR,2019,V - OUTROS CUSTOS FIXOS,CUSTO FIXO  (E+F = G),167.43547,1.67,0.04897405852826152,6000.0,
Assis Chateaubriand,PR,2019,V - OUTROS CUSTOS FIXOS,CUSTO OPERACIONAL  (D+G = H),2776.570413689786,27.729999999999997,0.7603528951579064,6000.0,
Assis Chateaubriand,PR,2019,VI - RENDA DE FATORES,32 - Remuneração esperada sobre capital fixo,40.94,0.41,0.011974750368885559,6000.0,
Assis Chateaubriand,PR,2019,VI - RENDA DE FATORES,33 - Terra própria,601.35,6.01,0.17589194270467345,6000.0,
Assis Chateaubriand,PR,2019,VI - RENDA DE FATORES,34 - Arrendamento,0.0,0.0,0.0,6000.0,
Assis Chateaubriand,PR,2019,VI - RENDA DE FATORES,TOTAL DA RENDA DE FATORES (I),642.29,6.42,0.18786669307355902,6000.0,
Assis Chateaubriand,PR,2019,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),3418.860413689786,34.15,0.9482195882314655,6000.0,
Assis Chateaubriand,PR,2020,I - DESPESAS DE CUSTEIO,1 - Operação com animal,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,I - DESPESAS DE CUSTEIO,2 - Operação com Avião,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,3.1 - Tratores e Colheitadeiras,119.01,1.19,4.75,6000.0,3.45
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,3.2 - Conjunto de Irrigação,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,4 - Aluguel de Máquinas,146.74,1.47,5.86,6000.0,4.26
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,5 - Aluguel de Animais,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,6 - Mão de obra,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,7 - Administrador,73.16,0.73,2.92,6000.0,2.12
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,8 - Sementes e mudas,705.19,7.05,28.15,6000.0,20.46
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,9 - Fertilizantes,636.6,6.37,25.41,6000.0,18.47
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,10 - Agrotóxicos,414.45,4.14,16.54,6000.0,12.03
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,11 - Receita,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,12 - Outros:,12.1 - Embalagens/Utensílios,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,12 - Outros:,12.2 - Análise de Solo,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,12 - Outros:,12.3 - Demais Despesas,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,12 - Outros:,13 - Serviços Diversos,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,12 - Outros:,TOTAL DAS DESPESAS DE CUSTEIO (A),2095.15,20.95,83.63,6000.0,60.79
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,14 - Transporte Externo,111.0,1.11,4.43,6000.0,3.22
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,15 - Despesas Administrativas,62.85,0.63,2.51,6000.0,1.82
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,16 - Despesas de armazenagem,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,17 - Beneficiamento,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,18 - Seguro da Produção,104.76,1.05,4.18,6000.0,3.04
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,19 - Seguro do crédito,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,20 - Assistência Técnica,20.95,0.21,0.84,6000.0,0.61
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,21 - Classificação,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,22 - Outros Impostos/Taxas,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,23 - CESSR,64.28,0.64,2.57,6000.0,1.87
Assis Chateaubriand,PR,2020,II - OUTRAS DESPESAS,TOTAL DAS OUTRAS DESPESAS (B),363.84,3.64,14.53,6000.0,10.56
Assis Chateaubriand,PR,2020,III - DESPESAS FINANCEIRAS,24 - Juros do Financiamento,46.31,0.46,1.85,6000.0,1.34
Assis Chateaubriand,PR,2020,III - DESPESAS FINANCEIRAS,TOTAL DAS DESPESAS FINANCEIRAS (C),46.31,0.46,1.85,6000.0,1.34
Assis Chateaubriand,PR,2020,III - DESPESAS FINANCEIRAS,CUSTO VARIÁVEL (A+B+C=D),2505.3,25.05,100.01,6000.0,72.69
Assis Chateaubriand,PR,2020,IV - DEPRECIAÇÕES,25 - Depreciação de benfeitorias/instalações,8.15,0.08,0.33,6000.0,0.24
Assis Chateaubriand,PR,2020,IV - DEPRECIAÇÕES,26 - Depreciação de implementos,90.18,0.9,3.6,6000.0,2.62
Assis Chateaubriand,PR,2020,IV - DEPRECIAÇÕES,27 - Depreciação de Máquinas,14.26,0.14,0.57,6000.0,0.41
Assis Chateaubriand,PR,2020,IV - DEPRECIAÇÕES,TOTAL DE DEPRECIAÇÕES (E),112.59,1.13,4.5,6000.0,3.27
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,28 - Manutenção Periódica Benfeitorias/Instalações,104.35,1.04,4.17,6000.0,3.03
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,29 - Encargos Sociais,33.35,0.33,1.33,6000.0,0.97
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,30 - Seguro do capital fixo,6.1,0.06,0.24,6000.0,0.18
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,31 - Arrendamento,16.07,0.16,0.64,6000.0,0.47
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,TOTAL DE OUTROS CUSTOS FIXOS (F),159.87,1.6,6.38,6000.0,4.65
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,CUSTO FIXO (E+F=G),272.46,2.72,10.88,6000.0,7.92
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,CUSTO OPERACIONAL (D+G=H),2777.76,27.77,110.89,6000.0,80.61
Assis Chateaubriand,PR,2020,VI - RENDA DE FATORES,32 - Remuneração esperada sobre o capital fixo,50.15,0.5,2.0,6000.0,1.46
Assis Chateaubriand,PR,2020,VI - RENDA DE FATORES,33 - Terra Própria,618.39,6.18,24.68,6000.0,17.94
Assis Chateaubriand,PR,2020,VI - RENDA DE FATORES,TOTAL DE RENDA DE FATORES (I),668.54,6.69,26.68,6000.0,19.4
Assis Chateaubriand,PR,2020,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),3446.3,34.46,137.57,6000.0,
Assis Chateaubriand,PR,2021,I - DESPESAS DO CUSTEIO,1 - Operação com animal,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,I - DESPESAS DO CUSTEIO,2 - Operação com Avião,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,3.1 - Tratores e Colheitadeiras,127.37,1.2737,3.87,6000.0,3.16
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,3.2 - Conjunto de Irrigação,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,4 - Aluguel de Máquinas,300.15,3.0015,9.13,6000.0,7.44
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,5 - Aluguel de Animais,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,6 - Mão de obra,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,7 - Administrador,77.0,0.77,2.34,6000.0,1.91
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,8 - Sementes e mudas,677.0,6.77,20.59,6000.0,16.78
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,9 - Fertilizantes,1007.0,10.07,30.63,6000.0,24.96
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,10 - Agrotóxicos,504.3,5.043,15.34,6000.0,12.5
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,11 - Receita,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,12 - Outros:,12.1 - Embalagens/Utensílios,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,12 - Outros:,12.2 - Análise de Solo,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,12 - Outros:,12.3 - Demais Despesas,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,12 - Outros:,13 - Serviços Diversos,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,12 - Outros:,TOTAL DAS DESPESAS DE CUSTEIO (A),2692.82,26.9282,81.9,6000.0,66.75
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,14 - Transporte Externo,186.0,1.86,5.66,6000.0,4.61
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,15 - Despesas Administrativas,80.78,0.8078,2.46,6000.0,2.0
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,16 - Despesas de armazenagem,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,17 - Beneficiamento,0.0,0.0,0.0,6000.0,0.0
