municipio,data_semeadura,n_anos,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico
Formosa do Oeste,15/03/,26,7.7,-885.1204827115841,Viabilidade intermediária
Formosa do Oeste,25/02/,26,3.8,-883.890772510132,Viabilidade intermediária
Formosa do Oeste,25/03/,26,3.8,-890.5102691355722,Viabilidade intermediária
Foz do Iguaçu,05/02/,26,7.7,-961.7663471353718,Menos viável
Foz do Iguaçu,05/03/,26,7.7,-864.4872985917622,Mais viável
Foz do Iguaçu,15/02/,26,7.7,-908.5801105819656,Viabilidade intermediária
Foz do Iguaçu,15/03/,26,7.7,-892.8468981078314,Viabilidade intermediária
Foz do Iguaçu,25/02/,26,7.7,-863.4545231399866,Mais viável
Foz do Iguaçu,25/03/,26,7.7,-887.7455673274435,Viabilidade intermediária
Guaraniaçu,05/02/,26,3.8,-840.8353850057622,Mais viável
Guaraniaçu,05/03/,26,3.8,-831.9850208061004,Mais viável
Guaraniaçu,15/02/,26,7.7,-830.5367662817193,Mais viável
Guaraniaçu,15/03/,26,7.7,-835.535125204841,Mais viável
Guaraniaçu,25/02/,26,7.7,-825.7561079088936,Mais viável
Guaraniaçu,25/03/,26,7.7,-840.3571520850758,Mais viável
Guaíra,05/02/,26,7.7,-942.5475899420962,Menos viável
Guaíra,05/03/,26,7.7,-935.2835491682289,Menos viável
Guaíra,15/02/,26,3.8,-958.8914564633415,Menos viável
Guaíra,15/03/,26,3.8,-954.9874647364711,Menos viável
Guaíra,25/02/,26,7.7,-935.6539561779389,Menos viável
Guaíra,25/03/,26,7.7,-925.091225528244,Menos viável
Ibema,05/02/,26,3.8,-843.8054939999488,Mais viável
Ibema,05/03/,26,3.8,-830.7919305162819,Mais viável
Ibema,15/02/,26,7.7,-833.6080408612144,Mais viável
Ibema,15/03/,26,7.7,-833.0127233589993,Mais viável
Ibema,25/02/,26,7.7,-823.2516955640424,Mais viável
Ibema,25/03/,26,7.7,-837.3562957217405,Mais viável
Iguatu,05/02/,26,3.8,-872.3551506310534,Mais viável
Iguatu,05/03/,26,7.7,-868.9837934909968,Mais viável
Iguatu,15/02/,26,3.8,-882.4804610254536,Viabilidade intermediária
Iguatu,15/03/,26,3.8,-871.88864588419,Mais viável
Iguatu,25/02/,26,3.8,-873.2553557816403,Mais viável
Iguatu,25/03/,26,3.8,-880.6891113051526,Viabilidade intermediária
Iracema do Oeste,05/02/,26,7.7,-883.7483250019887,Viabilidade intermediária
Iracema do Oeste,05/03/,26,7.7,-876.4686205939767,Viabilidade intermediária
Iracema do Oeste,15/02/,26,3.8,-898.3254474051254,Viabilidade intermediária
Iracema do Oeste,15/03/,26,7.7,-881.1661025694241,Viabilidade intermediária
Iracema do Oeste,25/02/,26,3.8,-880.8346816753773,Viabilidade intermediária
Iracema do Oeste,25/03/,26,3.8,-886.5630919789172,Viabilidade intermediária
Itaipulândia,05/02/,26,3.8,-992.5414727322445,Menos viável
Itaipulândia,05/03/,26,3.8,-949.9731701455978,Menos viável
Itaipulândia,15/02/,26,3.8,-972.9519847670373,Menos viável
Itaipulândia,15/03/,26,3.8,-981.9168373039041,Menos viável
Itaipulândia,25/02/,26,3.8,-957.1798300831365,Menos viável
Itaipulândia,25/03/,26,3.8,-955.2068604273762,Menos viável
Jesuítas,05/02/,26,7.7,-884.0258708681779,Viabilidade intermediária
Jesuítas,05/03/,26,7.7,-877.0893200118509,Viabilidade intermediária
Jesuítas,15/02/,26,3.8,-898.6129574743062,Viabilidade intermediária
Jesuítas,15/03/,26,7.7,-881.0541138000117,Viabilidade intermediária
Jesuítas,25/02/,26,3.8,-881.290443410901,Viabilidade intermediária
Jesuítas,25/03/,26,3.8,-886.8270644028667,Viabilidade intermediária
Lindoeste,05/02/,26,7.7,-905.3556655657308,Viabilidade intermediária
Lindoeste,05/03/,26,3.8,-856.9492334104833,Mais viável
Lindoeste,15/02/,26,7.7,-871.7847781796329,Mais viável
Lindoeste,15/03/,26,7.7,-874.7852531398657,Viabilidade intermediária
Lindoeste,25/02/,26,7.7,-849.1135072034386,Mais viável
Lindoeste,25/03/,26,7.7,-862.7167493851583,Mais viável
Marechal Cândido Rondon,05/02/,26,3.8,-972.6368716550608,Menos viável
Marechal Cândido Rondon,05/03/,26,3.8,-945.7005419489659,Menos viável
Marechal Cândido Rondon,15/02/,26,3.8,-964.3882682260587,Menos viável
Marechal Cândido Rondon,15/03/,26,3.8,-984.3256595370409,Menos viável
Marechal Cândido Rondon,25/02/,26,3.8,-930.750902815588,Menos viável
Marechal Cândido Rondon,25/03/,26,3.8,-956.9647317617715,Menos viável
Maripá,05/02/,26,7.7,-907.594878709923,Viabilidade intermediária
Maripá,05/03/,26,7.7,-901.7080378285458,Viabilidade intermediária
Maripá,15/02/,26,3.8,-937.5852000032842,Menos viável
Maripá,15/03/,26,7.7,-919.8410108422958,Menos viável
Maripá,25/02/,26,7.7,-904.5339020210854,Viabilidade intermediária
Maripá,25/03/,26,7.7,-911.3152508092464,Menos viável
Matelândia,05/02/,26,7.7,-907.6407923285203,Viabilidade intermediária
Matelândia,05/03/,26,3.8,-860.9518152443122,Mais viável
Matelândia,15/02/,26,7.7,-876.0046627442225,Viabilidade intermediária
Matelândia,15/03/,26,7.7,-879.7305759610172,Viabilidade intermediária
Matelândia,25/02/,26,7.7,-850.8287473716581,Mais viável
Matelândia,25/03/,26,7.7,-867.7005549122271,Mais viável
Medianeira,05/02/,26,7.7,-951.3254860272272,Menos viável
Medianeira,05/03/,26,7.7,-885.8286291956613,Viabilidade intermediária
Medianeira,15/02/,26,7.7,-914.6901291814988,Menos viável
Medianeira,15/03/,26,7.7,-917.9069305955804,Menos viável
Medianeira,25/02/,26,7.7,-895.3474017537337,Viabilidade intermediária
Medianeira,25/03/,26,7.7,-897.0886875133344,Viabilidade intermediária
Mercedes,05/02/,26,3.8,-974.9469231504386,Menos viável
Mercedes,05/03/,26,3.8,-950.6824340706391,Menos viável
Mercedes,15/02/,26,3.8,-967.9193751822604,Menos viável
Mercedes,15/03/,26,3.8,-988.6172553717081,Menos viável
Mercedes,25/02/,26,3.8,-937.1246920688017,Menos viável
Mercedes,25/03/,26,3.8,-960.1078052502128,Menos viável
Missal,05/02/,26,3.8,-991.4804246645847,Menos viável
Missal,05/03/,26,3.8,-953.1887749765184,Menos viável
Missal,15/02/,26,3.8,-974.3352032188862,Menos viável
Missal,15/03/,26,3.8,-984.9316489498176,Menos viável
Missal,25/02/,26,3.8,-959.7908864367417,Menos viável
Missal,25/03/,26,3.8,-957.1263179086898,Menos viável
Nova Aurora,05/02/,26,7.7,-881.9026426743977,Viabilidade intermediária
Nova Aurora,05/03/,26,7.7,-874.9327873196191,Viabilidade intermediária
Nova Aurora,15/02/,26,3.8,-895.7005969422145,Viabilidade intermediária
Nova Aurora,15/03/,26,7.7,-878.265144347097,Viabilidade intermediária
Nova Aurora,25/02/,26,3.8,-879.348361913416,Viabilidade intermediária
Nova Aurora,25/03/,26,3.8,-884.6063029051215,Viabilidade intermediária
Nova Santa Rosa,05/02/,26,7.7,-907.7743811525652,Viabilidade intermediária
Nova Santa Rosa,05/03/,26,7.7,-902.6495351317683,Viabilidade intermediária
Nova Santa Rosa,15/02/,26,3.8,-937.8054444543209,Menos viável
Nova Santa Rosa,15/03/,26,7.7,-919.776504135243,Menos viável
Nova Santa Rosa,25/02/,26,7.7,-905.916345749043,Viabilidade intermediária
Nova Santa Rosa,25/03/,26,7.7,-911.1967885956515,Viabilidade intermediária
Ouro Verde do Oeste,05/02/,26,3.8,-896.2958114524087,Viabilidade intermediária
Ouro Verde do Oeste,05/03/,26,7.7,-855.045593819119,Mais viável
Ouro Verde do Oeste,15/02/,26,7.7,-891.6570300024704,Viabilidade intermediária
Ouro Verde do Oeste,15/03/,26,7.7,-874.9694008469667,Viabilidade intermediária
Ouro Verde do Oeste,25/02/,26,7.7,-865.5195952091909,Mais viável
Ouro Verde do Oeste,25/03/,26,3.8,-884.004533188417,Viabilidade intermediária
Palotina,05/02/,26,7.7,-911.2013819936819,Menos viável
Palotina,05/03/,26,7.7,-908.6978595186938,Viabilidade intermediária
Palotina,15/02/,26,3.8,-941.5645139707522,Menos viável
Palotina,15/03/,26,7.7,-924.5923448285719,Menos viável
Palotina,25/02/,26,7.7,-909.2745759904118,Viabilidade intermediária
Palotina,25/03/,26,7.7,-916.0674645447148,Menos viável
Pato Bragado,05/02/,26,3.8,-977.0687079243557,Menos viável
Pato Bragado,05/03/,26,3.8,-940.5772652618032,Menos viável
Pato Bragado,15/02/,26,3.8,-969.9973755495344,Menos viável
Pato Bragado,15/03/,26,3.8,-979.5634419217945,Menos viável
