,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
0,2015,03/15,11.468250559407513,Cascavel,30.0,0.45,0.9,0.012,0.006
1,2016,03/15,8.388777746675778,Cascavel,30.0,0.45,0.9,0.012,0.006
2,2017,03/15,10.824815977097877,Cascavel,30.0,0.45,0.9,0.012,0.006
3,2018,03/15,10.489938004753297,Cascavel,30.0,0.45,0.9,0.012,0.006
4,2019,03/15,11.50697323661982,Cascavel,30.0,0.45,0.9,0.012,0.006
5,2020,03/15,7.218556737395263,Cascavel,30.0,0.45,0.9,0.012,0.006
6,2021,03/15,10.925131448651765,Cascavel,30.0,0.45,0.9,0.012,0.006
7,2022,03/15,9.83495314381866,Cascavel,30.0,0.45,0.9,0.012,0.006
8,2023,03/15,11.01829216410718,Cascavel,30.0,0.45,0.9,0.012,0.006
9,2024,03/15,11.424806758024415,Cascavel,30.0,0.45,0.9,0.012,0.006
10,2015,03/15,12.185017132864449,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
11,2016,03/15,9.863584408602991,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
12,2017,03/15,11.84609733526933,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
13,2018,03/15,11.270684318021551,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
14,2019,03/15,12.167378146019377,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
15,2020,03/15,11.0739564266045,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
16,2021,03/15,11.821242432378835,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
17,2022,03/15,10.749334305158621,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
18,2023,03/15,12.249027124545922,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
19,2024,03/15,11.238193419158188,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
20,2015,03/15,12.480501340037268,Guaíra,30.0,0.45,0.9,0.012,0.006
21,2016,03/15,10.38712823101136,Guaíra,30.0,0.45,0.9,0.012,0.006
22,2017,03/15,12.072387628525753,Guaíra,30.0,0.45,0.9,0.012,0.006
23,2018,03/15,11.913790393654914,Guaíra,30.0,0.45,0.9,0.012,0.006
24,2019,03/15,12.504647893937815,Guaíra,30.0,0.45,0.9,0.012,0.006
25,2020,03/15,12.115794934022032,Guaíra,30.0,0.45,0.9,0.012,0.006
26,2021,03/15,12.053214517451622,Guaíra,30.0,0.45,0.9,0.012,0.006
27,2022,03/15,11.263908724023782,Guaíra,30.0,0.45,0.9,0.012,0.006
28,2023,03/15,12.297728374178236,Guaíra,30.0,0.45,0.9,0.012,0.006
29,2024,03/15,12.471371260189386,Guaíra,30.0,0.45,0.9,0.012,0.006
30,2015,03/15,12.496979361434152,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
31,2016,03/15,10.486191451376113,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
32,2017,03/15,12.167695986556653,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
33,2018,03/15,11.986195613239751,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
