ano,preco_rs_60kg_nominal,fator_deflator,preco_rs_60kg_real,preco_rs_kg_real
1999,8.806666666666667,4.776733738342524,42.06710178900316,0.7011183631500527
2000,10.805833333333332,4.462405294256805,48.22000787552332,0.8036667979253888
2001,8.458333333333334,4.176699368049896,35.327915488088706,0.5887985914681451
2002,14.369166666666667,3.8512680400952717,55.33951234613564,0.9223252057689274
2003,15.728283333333332,3.3572647163716347,52.804010684096035,0.8800668447349339
2004,15.526333333333334,3.149463152695829,48.899614729806345,0.8149935788301057
2005,14.348583333333332,2.946998977609979,42.28526041348491,0.7047543402247486
2006,12.593041666666666,2.828656084234691,35.621383929437634,0.5936897321572939
2007,17.527408333333334,2.7292735278986973,47.83709157683769,0.7972848596139616
2008,19.0395,2.5826244103119955,49.17187746013524,0.8195312910022541
2009,16.02103333333333,2.462266291630245,39.448050333751205,0.6574675055625201
2010,15.400833333333333,2.344143679868102,36.101766123035326,0.6016961020505888
2011,22.41,2.198259208362353,49.26298885940033,0.8210498143233388
2012,23.51785,2.085563039932625,49.047958738679476,0.8174659789779912
2013,19.975825,1.9637289905416229,39.227106662486115,0.6537851110414352
2014,20.16519166666667,1.846839121244845,37.24186485740054,0.6206977476233424
2015,21.679933333333334,1.6938792787919235,36.72318983892365,0.6120531639820609
2016,33.73309166666667,1.5577398161699365,52.54738001167695,0.8757896668612825
2017,21.462433333333333,1.5058438146760413,32.31907248289689,0.5386512080482816
2018,28.972583333333333,1.4526103448798835,42.085874267894496,0.7014312377982416
2019,29.743233333333336,1.40033526552242,41.65049854732863,0.6941749757888105
2020,47.284416666666665,1.356761632067946,64.15368232804745,1.0692280388007909
2021,82.55139166666667,1.2527626200113375,103.41729770991545,1.7236216284985908
2022,79.86494166666667,1.146379346107216,91.55551960472428,1.5259253267454047
2023,68.662625,1.0960327537763812,75.256485960265,1.2542747660044167
2024,51.67505,1.0501675476932033,54.267460535423666,0.9044576755903945
2025,56.36328333333333,1.0,56.36328333333333,0.9393880555555555
