,Unnamed: 0,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
63,63,2018,03/25,1.153581280684690,Santa Helena,30.0,0.45,0.9,12,6
64,64,2019,03/25,12.135653310542200,Santa Helena,30.0,0.45,0.9,12,6
65,65,2020,03/25,11.571115356177200,Santa Helena,30.0,0.45,0.9,12,6
66,66,2021,03/25,1.165949327506620,Santa Helena,30.0,0.45,0.9,12,6
67,67,2022,03/25,11.130264580049600,Santa Helena,30.0,0.45,0.9,12,6
68,68,2023,03/25,12.363857428973800,Santa Helena,30.0,0.45,0.9,12,6
69,69,2024,03/25,11.506033510658300,Santa Helena,30.0,0.45,0.9,12,6
70,70,2015,03/25,11.924693055374100,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
71,71,2016,03/25,9.457171560642620,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
72,72,2017,03/25,11.556114571526300,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
73,73,2018,03/25,10.996005087739600,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
74,74,2019,03/25,11.842703607032400,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
75,75,2020,03/25,10.806390078504100,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
76,76,2021,03/25,1.131179783224060,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
77,77,2022,03/25,10.539180848864600,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
78,78,2023,03/25,12.094762245340900,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
79,79,2024,03/25,10.849339773123000,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
80,80,2015,03/25,1.110459381602900,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
81,81,2016,03/25,56.062070706927900,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
82,82,2017,03/25,1.071015485936360,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
83,83,2018,03/25,10.383384018724100,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
84,84,2019,03/25,11.251673910929700,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
85,85,2020,03/25,10.376410714169500,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
86,86,2021,03/25,10.746960061970200,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
87,87,2022,03/25,9.722657636932750,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
88,88,2023,03/25,11.401722923227400,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
89,89,2024,03/25,10.910457058515700,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
90,90,2015,03/25,11.695619969952500,Toledo,30.0,0.45,0.9,12,6
91,91,2016,03/25,8.144278808944180,Toledo,30.0,0.45,0.9,12,6
92,92,2017,03/25,11.138593889158200,Toledo,30.0,0.45,0.9,12,6
93,93,2018,03/25,11.192994195391800,Toledo,30.0,0.45,0.9,12,6
94,94,2019,03/25,11.765422839367500,Toledo,30.0,0.45,0.9,12,6
95,95,2020,03/25,11.354961154818200,Toledo,30.0,0.45,0.9,12,6
96,96,2021,03/25,11.200808393339600,Toledo,30.0,0.45,0.9,12,6
97,97,2022,03/25,10.305825986329800,Toledo,30.0,0.45,0.9,12,6
98,98,2023,03/25,11.814807740830900,Toledo,30.0,0.45,0.9,12,6
99,99,2024,03/25,11.819264846607800,Toledo,30.0,0.45,0.9,12,6
100,100,2015,03/25,11.043792167284500,Cascavel,30.0,0.45,0.9,12,7
101,101,2016,03/25,6.035510186245170,Cascavel,30.0,0.45,0.9,12,7
102,102,2017,03/25,10.394904084727100,Cascavel,30.0,0.45,0.9,12,7
103,103,2018,03/25,10.085511645216200,Cascavel,30.0,0.45,0.9,12,7
104,104,2019,03/25,11.099595274656100,Cascavel,30.0,0.45,0.9,12,7
105,105,2020,03/25,1.021590921322710,Cascavel,30.0,0.45,0.9,12,7
106,106,2021,03/25,10.296740193618300,Cascavel,30.0,0.45,0.9,12,7
107,107,2022,03/25,9.608961772003840,Cascavel,30.0,0.45,0.9,12,7
108,108,2023,03/25,10.859614882404100,Cascavel,30.0,0.45,0.9,12,7
109,109,2024,03/25,1.114165933877990,Cascavel,30.0,0.45,0.9,12,7
110,110,2015,03/25,11.924693055374100,Foz do Iguaçu,30.0,0.45,0.9,12,7
111,111,2016,03/25,9.457243789433190,Foz do Iguaçu,30.0,0.45,0.9,12,7
112,112,2017,03/25,11.556126708365600,Foz do Iguaçu,30.0,0.45,0.9,12,7
113,113,2018,03/25,1.099605100849260,Foz do Iguaçu,30.0,0.45,0.9,12,7
114,114,2019,03/25,11.842706691702300,Foz do Iguaçu,30.0,0.45,0.9,12,7
115,115,2020,03/25,10.806428161141400,Foz do Iguaçu,30.0,0.45,0.9,12,7
116,116,2021,03/25,1.131190380940770,Foz do Iguaçu,30.0,0.45,0.9,12,7
117,117,2022,03/25,10.539180848864600,Foz do Iguaçu,30.0,0.45,0.9,12,7
118,118,2023,03/25,12.094790117358700,Foz do Iguaçu,30.0,0.45,0.9,12,7
119,119,2024,03/25,108.493645991122,Foz do Iguaçu,30.0,0.45,0.9,12,7
120,120,2015,03/25,12.326045307853300,Guaíra,30.0,0.45,0.9,12,7
121,121,2016,03/25,100.935775033756,Guaíra,30.0,0.45,0.9,12,7
122,122,2017,03/25,1.177090042148780,Guaíra,30.0,0.45,0.9,12,7
123,123,2018,03/25,11.726274383503500,Guaíra,30.0,0.45,0.9,12,7
124,124,2019,03/25,12.282973875340900,Guaíra,30.0,0.45,0.9,12,7
125,125,2020,03/25,11.978358543012300,Guaíra,30.0,0.45,0.9,12,7
126,126,2021,03/25,1.153566792170560,Guaíra,30.0,0.45,0.9,12,7
127,127,2022,03/25,11.127674379012500,Guaíra,30.0,0.45,0.9,12,7
128,128,2023,03/25,12.182452337923000,Guaíra,30.0,0.45,0.9,12,7
129,129,2024,03/25,12.275563953753600,Guaíra,30.0,0.45,0.9,12,7
130,130,2015,03/25,123.358395422145,Marechal Cândido Rondon,30.0,0.45,0.9,12,7
131,131,2016,03/25,1.017386211437150,Marechal Cândido Rondon,30.0,0.45,0.9,12,7
132,132,2017,03/25,11.872845444389600,Marechal Cândido Rondon,30.0,0.45,0.9,12,7
133,133,2018,03/25,11.776904838977100,Marechal Cândido Rondon,30.0,0.45,0.9,12,7
134,134,2019,03/25,12.280370935145900,Marechal Cândido Rondon,30.0,0.45,0.9,12,7
135,135,2020,03/25,11.870362814919500,Marechal Cândido Rondon,30.0,0.45,0.9,12,7
136,136,2021,03/25,11.783984504584900,Marechal Cândido Rondon,30.0,0.45,0.9,12,7
137,137,2022,03/25,11.165448059322500,Marechal Cândido Rondon,30.0,0.45,0.9,12,7
138,138,2023,03/25,12.312654401543800,Marechal Cândido Rondon,30.0,0.45,0.9,12,7
139,139,2024,03/25,1.197642692869620,Marechal Cândido Rondon,30.0,0.45,0.9,12,7
140,140,2015,03/25,1.142739763313440,Matelândia,30.0,0.45,0.9,12,7
141,141,2016,03/25,6.856680392996810,Matelândia,30.0,0.45,0.9,12,7
142,142,2017,03/25,11.100514387912200,Matelândia,30.0,0.45,0.9,12,7
143,143,2018,03/25,10.445850641801700,Matelândia,30.0,0.45,0.9,12,7
144,144,2019,03/25,11.462496430523500,Matelândia,30.0,0.45,0.9,12,7
145,145,2020,03/25,10.455093124924700,Matelândia,30.0,0.45,0.9,12,7
146,146,2021,03/25,10.986990085708600,Matelândia,30.0,0.45,0.9,12,7
147,147,2022,03/25,10.075722127390900,Matelândia,30.0,0.45,0.9,12,7
148,148,2023,03/25,11.631023188109200,Matelândia,30.0,0.45,0.9,12,7
149,149,2024,03/25,10.858348644403400,Matelândia,30.0,0.45,0.9,12,7
150,150,2015,03/25,11.924693055374100,Medianeira,30.0,0.45,0.9,12,7
