municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha_100pct,risco_economico,margem_media_rs_ha_rateio50,margem_media_rs_ha_rateio_proporcional,score_clima,score_produtividade,score_economico,score_integrado,componente_agroclimatico,topsis_score,classe_risco_topsis,topsis_score_rateio50,topsis_score_rateio_proporcional
Boa Vista da Aparecida,05/03/,0.7430724633972594,0.0997492252116035,27,0.3703703703703703,0.2592592592592592,0.1481481481481481,1.0,0.0,0.5925925925925926,Risco climático 40%,3310.941075692675,394.49070006324524,Alta produtividade prevista,3.8,-841.0285450917485,Mais viável,60.06856026948155,226.9383945956354,2,0,0,2,1.339626520134742,0.7547359652307817,Baixo risco integrado,0.8123432795075838,0.7612190963267111
Boa Vista da Aparecida,15/02/,0.7472407744886106,0.0962708530555981,27,0.2222222222222222,0.037037037037037,0.1851851851851851,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3341.900707063746,344.28630772038053,Alta produtividade prevista,3.8,-837.2989203989721,Mais viável,63.79818496225805,230.66801928841176,1,0,0,1,1.56293736292058,0.7962561128574469,Baixo risco integrado,0.8446603163672234,0.8016347267857682
Boa Vista da Aparecida,15/03/,0.7516551028725231,0.105215305114228,27,0.4444444444444444,0.3333333333333333,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Inapto (risco > 40%),3323.660758053751,342.826191323235,Alta produtividade prevista,3.8,-846.1450547739653,Mais viável,54.95205058726473,221.8218849134185,3,0,0,3,1.5769738743599482,0.7987836650179562,Baixo risco integrado,0.8285276262769987,0.8021409543796569
Boa Vista da Aparecida,25/02/,0.7346683293265843,0.0986506700555185,27,0.2592592592592592,0.1851851851851851,0.1111111111111111,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3323.4687694116856,310.83242667594993,Alta produtividade prevista,3.8,-833.5507212220099,Mais viável,67.54638413922034,234.41621846537413,1,0,0,1,1.2161296218114759,0.7318515113652594,Baixo risco integrado,0.8093456593396247,0.7407393736517197
Boa Vista da Aparecida,25/03/,0.7461242747288542,0.1197616320394461,27,0.4814814814814814,0.4074074074074074,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3305.124175311395,339.21915773223975,Alta produtividade prevista,3.8,-848.0219643048289,Mais viável,53.07514105640144,219.9449753825552,3,0,0,3,1.3789456425934794,0.7619756486268926,Baixo risco integrado,0.8027981077738606,0.7665888647459081
Braganey,05/02/,0.7750169967399642,0.1020588779249508,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3366.1048745647067,320.02229917190084,Alta produtividade prevista,3.8,-849.8007488384766,Mais viável,51.296356522753214,218.166190848907,2,0,0,2,2.2571289902767377,0.9249553269673617,Baixo risco integrado,0.880062064290862,0.918393496028681
Braganey,05/03/,0.7487224708555713,0.0986556873581582,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%,3358.5981420561807,389.22264335232353,Alta produtividade prevista,3.8,-837.2960190525228,Mais viável,63.80108630870728,230.67092063486103,2,0,0,2,1.6671329119197087,0.8156164641495649,Baixo risco integrado,0.8568140131885972,0.8201769164740061
Braganey,15/02/,0.763423756721751,0.0927218903440827,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3395.7293459513135,381.0076112227864,Alta produtividade prevista,7.7,-839.2737892555584,Mais viável,61.82331610567156,228.69315043182536,1,0,0,1,2.140578475693405,0.9035547714095689,Baixo risco integrado,0.9041420147129922,0.9036238931564731
Braganey,15/03/,0.7566078904766572,0.1004810545849531,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Risco climático 40%,3348.9461328085677,352.8185439211983,Alta produtividade prevista,7.7,-843.3367092900006,Mais viável,57.760396071229394,224.6302303973832,2,0,0,2,1.7921731984020628,0.8387919319149912,Baixo risco integrado,0.8581636872776243,0.8409852375668411
Braganey,25/02/,0.7429193238747942,0.0974770215229195,27,0.2962962962962963,0.1481481481481481,0.1851851851851851,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3378.969802601038,370.8114362196328,Alta produtividade prevista,7.7,-831.3947582862717,Mais viável,69.70234707495828,236.5721814011121,1,0,0,1,1.6329559437684527,0.8093072187960213,Baixo risco integrado,0.8616914010464398,0.8151053414955647
