cidade,uf,ano,secao,item,custo_rs_ha,custo_rs_60kg,participacao_pct,produtividade_kg_ha,participacao_ct_pct,categoria_total,categoria_item,fator_deflator,custo_rs_ha_real,custo_rs_60kg_real
Assis Chateaubriand,PR,2019,III - DESPESAS FINANCEIRAS,25 - Juros do financiamento,50.18494368978652,0.5,0.0146788513180696,6000.0,,,Juros/Financiamento,1.40033526552242,70.2757464470649,0.70016763276121
Assis Chateaubriand,PR,2019,III - DESPESAS FINANCEIRAS,TOTAL DAS DESPESAS FINANCEIRAS  (C),50.18494368978652,0.5,0.0146788513180696,6000.0,,Total Despesas Financeiras (C),,1.40033526552242,70.2757464470649,0.70016763276121
Assis Chateaubriand,PR,2019,III - DESPESAS FINANCEIRAS,CUSTO VARIÁVEL  (A+B+C = D),2609.1349436897863,26.059999999999995,0.7113788366296449,6000.0,,Custo Variável (D),,1.40033526552242,3653.663674155661,36.49273701951426
Assis Chateaubriand,PR,2019,IV - DEPRECIAÇÕES,26 - Depreciação de benfeitorias/instalações,2.04,0.02,0.0005966900525775,6000.0,,,Máquinas/Depreciação,1.40033526552242,2.856683941665737,0.0280067053104484
Assis Chateaubriand,PR,2019,IV - DEPRECIAÇÕES,27 - Depreciação de implementos,98.4,0.98,0.0287815201831543,6000.0,,,Máquinas/Depreciação,1.40033526552242,137.79299012740614,1.3723285602119715
Assis Chateaubriand,PR,2019,IV - DEPRECIAÇÕES,28 - Depreciação de máquinas,16.71,0.17,0.0048875935189076,6000.0,,,Máquinas/Depreciação,1.40033526552242,23.399602286879638,0.2380569951388114
Assis Chateaubriand,PR,2019,IV - DEPRECIAÇÕES,TOTAL DE DEPRECIAÇÕES (E),117.15,1.17,0.0342658037546395,6000.0,,Total Depreciações (E),Máquinas/Depreciação,1.40033526552242,164.0492763559515,1.6383922606612313
Assis Chateaubriand,PR,2019,V - OUTROS CUSTOS FIXOS,29 - Manutenção periódica de benfeitorias/instalações,13.30547,0.13,0.003891785095034,6000.0,,,,1.40033526552242,18.63211886535059,0.1820435845179146
Assis Chateaubriand,PR,2019,V - OUTROS CUSTOS FIXOS,30 - Encargos sociais,31.86,0.32,0.0093188946446676,6000.0,,,,1.40033526552242,44.6146815595443,0.4481072849671744
Assis Chateaubriand,PR,2019,V - OUTROS CUSTOS FIXOS,31 - Seguro do capital fixo,5.12,0.05,0.0014975750339202,6000.0,,,Seguro,1.40033526552242,7.16971655947479,0.070016763276121
Assis Chateaubriand,PR,2019,V - OUTROS CUSTOS FIXOS,TOTAL DE OUTROS CUSTOS FIXOS (F),50.28547,0.5,0.0147082547736219,6000.0,,Total Outros Custos Fixos (F),,1.40033526552242,70.41651698436968,0.70016763276121
Assis Chateaubriand,PR,2019,V - OUTROS CUSTOS FIXOS,CUSTO FIXO  (E+F = G),167.43547,1.67,0.0489740585282615,6000.0,,Custo Fixo (G),,1.40033526552242,234.4657933403212,2.3385598934224414
Assis Chateaubriand,PR,2019,V - OUTROS CUSTOS FIXOS,CUSTO OPERACIONAL  (D+G = H),2776.570413689786,27.73,0.7603528951579064,6000.0,,Custo Operacional (H),,1.40033526552242,3888.129467495982,38.83129691293671
Assis Chateaubriand,PR,2019,VI - RENDA DE FATORES,32 - Remuneração esperada sobre capital fixo,40.94,0.41,0.0119747503688855,6000.0,,,,1.40033526552242,57.32972577048787,0.5741374588641921
Assis Chateaubriand,PR,2019,VI - RENDA DE FATORES,33 - Terra própria,601.35,6.01,0.1758919427046734,6000.0,,,Terra,1.40033526552242,842.0916119219073,8.416014945789744
