municipio,data_semeadura,risco_climatico,isna_medio,risco_economico,pct_anos_cobre_custo,margem_media_rs_ha_100pct,margem_media_rs_ha_rateio50,margem_media_rs_ha_rateio_proporcional,margem_media_rs_ha_operacional_conab
Santa Terezinha de Itaipu,25/03/,Inapto (risco > 40%),0.7203342171037883,Viabilidade intermediária,46.2,-904.581994920314,-3.48488955908353,163.3849447670702,25.010187010955903
Serranópolis do Iguaçu,25/02/,Risco climático 30%,0.7306288685363386,Mais viável,46.2,-852.4109773214259,48.68612803980414,215.55596236595795,77.1812046098437
São José das Palmeiras,15/02/,Risco climático 40%,0.6761335423508418,Menos viável,46.2,-968.2550664962166,-67.15796113498676,99.711873191167,-38.66288456494721
São Miguel do Iguaçu,25/02/,Risco climático 40%,0.675729527318358,Viabilidade intermediária,46.2,-906.9329586239166,-5.835853262686476,161.0339810634672,22.659223307352985
São Pedro do Iguaçu,25/02/,Risco climático 30%,0.7170564259323897,Mais viável,50.0,-864.2891025955086,36.80800276572128,203.67783709187503,65.30307933576087
Terra Roxa,05/02/,Inapto (risco > 40%),0.6710074490662042,Menos viável,46.2,-944.4431493236729,-43.34604396244247,123.52379036371124,-14.850967392402971
Toledo,15/02/,Risco climático 30%,0.7070027585536593,Menos viável,50.0,-930.472856157349,-29.37575079611882,137.49408353003494,-0.8806742260793237
Três Barras do Paraná,05/02/,Risco climático 30%,0.7638841897538418,Mais viável,50.0,-871.3467532222575,29.750352138972403,196.62018646512615,58.24542870901189
Tupãssi,15/02/,Risco climático 30%,0.7073771874560774,Menos viável,50.0,-931.8955720610122,-30.798466699782185,136.07136762637165,-2.303390129742577
Vera Cruz do Oeste,25/02/,Risco climático 30%,0.7194589351419692,Mais viável,50.0,-861.9875014927475,39.109603868482665,205.97943819463643,67.60468043852217
