Fase,Tmin,Tmax,Tmed,Chuva,UR,ETc,ETR,ARM,DEF,EXC,N,PP,ISNA,PA,Data semeadura,Data maturação,Municipio,Ano,Latitude,Longitude,Altitude
1,20.161176470588234,30.016470588235293,25.088823529411766,95.8,76.4364705882353,21.009764397247487,18.59639002305708,23.76177777777777,2.4133743741904077,60.97605442138737,12.848558226098373,2111.6374911902585,0.8851308216237499,9563.608540217094,2019-02-05,2019-05-15,Anahy,2019,-24.64418139288288,-53.14382051985132,445
2,20.273214285714285,29.006428571428575,24.639821428571427,223.45999999999998,83.60107142857143,68.17954411441069,61.981439960064826,48.09228258713545,6.198104154345872,137.14805523057748,12.32933196193488,3187.706340204745,0.9090914403307689,8259.487723769855,2019-02-05,2019-05-15,Anahy,2019,-24.64418139288288,-53.14382051985132,445
3,18.0169696969697,29.085757575757576,23.551363636363636,40.8,77.95151515151515,128.48774168337954,73.1034674747184,15.788815112417048,55.38427420866114,0.0,11.587816376909702,3008.9103123547147,0.5689528550891688,6479.373422891326,2019-02-05,2019-05-15,Anahy,2019,-24.64418139288288,-53.14382051985132,445
4,17.801363636363636,27.44181818181818,22.62159090909091,105.86,82.75363636363636,45.58275862891784,35.25417669494624,50.43645050116098,10.328581933971602,35.95818791630984,10.980098604008901,1715.9429081612295,0.7734103366131262,6185.741614321166,2019-02-05,2019-05-15,Anahy,2019,-24.64418139288288,-53.14382051985132,445
1,18.92235294117647,29.135882352941177,24.029117647058825,111.78,80.35882352941178,20.885985977584387,19.566834198821965,15.07564477699893,1.3191517787624216,84.67174324640132,12.626470559105773,1894.565609033557,0.9368403397293196,9064.6244601661,2019-02-15,2019-05-25,Anahy,2019,-24.64418139288288,-53.14382051985132,445
2,19.924642857142857,28.810714285714287,24.36767857142857,156.95999999999998,82.7192857142857,72.5940818966839,51.764634828975616,16.11921647895197,20.829447067708287,104.15179346907134,12.085858002923304,3012.8189891874317,0.713069626015068,5163.250330583467,2019-02-15,2019-05-25,Anahy,2019,-24.64418139288288,-53.14382051985132,445
3,18.17030303030303,28.814545454545453,23.492424242424242,84.41,79.27151515151515,109.2553577659699,61.100121414378584,39.42909506457338,48.15523635159132,0.0,11.355281644236044,2911.7014977162753,0.5592414199517601,4025.37688851268,2019-02-15,2019-05-25,Anahy,2019,-24.64418139288288,-53.14382051985132,445
4,15.621818181818183,25.25,20.43590909090909,108.66000000000001,83.4709090909091,40.59309021194261,35.740008550092476,51.11857627733351,4.853081661850135,61.2305102371474,10.800983373279712,1480.4813730305468,0.8804456217422357,3929.126602280819,2019-02-15,2019-05-25,Anahy,2019,-24.64418139288288,-53.14382051985132,445
1,19.824117647058824,29.36764705882353,24.595882352941175,166.98999999999998,81.90823529411765,19.51724634044266,15.414290330184334,22.067105781984147,4.1029560102583265,137.04282611005374,12.390968044883154,1909.3750173212077,0.7897779257027469,8025.735995921655,2019-02-25,2019-06-04,Anahy,2019,-24.64418139288288,-53.14382051985132,445
2,19.024285714285714,28.33642857142857,23.68035714285714,75.77,82.41035714285715,65.43014254599152,41.88176938183262,23.123433441366068,23.548373164158896,32.83190295878546,11.840704341037494,2799.307611115351,0.6400990086853852,3693.0304844792686,2019-02-25,2019-06-04,Anahy,2019,-24.64418139288288,-53.14382051985132,445
3,18.162727272727274,28.686060606060607,23.42439393939394,118.85000000000001,79.47090909090909,103.79656469124079,63.815994701739406,52.160000000000004,39.98056998950139,25.99743873962666,11.137048468974863,2751.75692543174,0.6148179845023785,2981.786021826327,2019-02-25,2019-06-04,Anahy,2019,-24.64418139288288,-53.14382051985132,445
