,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
0,2015,02/15,12.576874970703562,Cascavel,30.0,0.45,0.9,0.012,0.006
1,2016,02/15,7.341182685015526,Cascavel,30.0,0.45,0.9,0.012,0.006
2,2017,02/15,11.949600842571497,Cascavel,30.0,0.45,0.9,0.012,0.006
3,2018,02/15,11.555615218603075,Cascavel,30.0,0.45,0.9,0.012,0.006
4,2019,02/15,12.740001430635184,Cascavel,30.0,0.45,0.9,0.012,0.006
5,2020,02/15,11.674833117335178,Cascavel,30.0,0.45,0.9,0.012,0.006
6,2021,02/15,12.518165309422203,Cascavel,30.0,0.45,0.9,0.012,0.006
7,2022,02/15,10.825063793000105,Cascavel,30.0,0.45,0.9,0.012,0.006
8,2023,02/15,12.027380085047303,Cascavel,30.0,0.45,0.9,0.012,0.006
9,2024,02/15,12.620181636619778,Cascavel,30.0,0.45,0.9,0.012,0.006
10,2015,02/15,12.848204610748471,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
11,2016,02/15,10.960391963154951,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
12,2017,02/15,12.489410836690242,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
13,2018,02/15,12.076246709102517,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
14,2019,02/15,13.12213375926082,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
15,2020,02/15,12.18659380698374,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
16,2021,02/15,13.078635044396854,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
17,2022,02/15,11.45235464880114,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
18,2023,02/15,12.87760334396853,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
19,2024,02/15,12.661361237618204,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
20,2015,02/15,12.99120729847737,Guaíra,30.0,0.45,0.9,0.012,0.006
21,2016,02/15,11.288010206756692,Guaíra,30.0,0.45,0.9,0.012,0.006
22,2017,02/15,12.640204474074437,Guaíra,30.0,0.45,0.9,0.012,0.006
23,2018,02/15,12.495343363718382,Guaíra,30.0,0.45,0.9,0.012,0.006
24,2019,02/15,13.191305174756891,Guaíra,30.0,0.45,0.9,0.012,0.006
25,2020,02/15,12.7298099307352,Guaíra,30.0,0.45,0.9,0.012,0.006
26,2021,02/15,13.133692373695638,Guaíra,30.0,0.45,0.9,0.012,0.006
27,2022,02/15,11.8253849498713,Guaíra,30.0,0.45,0.9,0.012,0.006
28,2023,02/15,12.907891754436601,Guaíra,30.0,0.45,0.9,0.012,0.006
29,2024,02/15,13.09569092648143,Guaíra,30.0,0.45,0.9,0.012,0.006
30,2015,02/15,12.980250984293955,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
31,2016,02/15,11.403590098804367,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
32,2017,02/15,12.704340316560936,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
33,2018,02/15,12.5832451241113,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
34,2019,02/15,13.214710116602802,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
35,2020,02/15,12.72768807026145,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
36,2021,02/15,13.251044313645199,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
37,2022,02/15,11.86002666333232,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
38,2023,02/15,12.996634402453015,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
39,2024,02/15,12.982978583115697,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
40,2015,02/15,12.665659157345852,Matelândia,30.0,0.45,0.9,0.012,0.006
41,2016,02/15,8.258947837813032,Matelândia,30.0,0.45,0.9,0.012,0.006
42,2017,02/15,12.238805191754823,Matelândia,30.0,0.45,0.9,0.012,0.006
43,2018,02/15,11.737235904780214,Matelândia,30.0,0.45,0.9,0.012,0.006
44,2019,02/15,12.950674139659403,Matelândia,30.0,0.45,0.9,0.012,0.006
45,2020,02/15,11.8363098176182,Matelândia,30.0,0.45,0.9,0.012,0.006
46,2021,02/15,12.842753404843496,Matelândia,30.0,0.45,0.9,0.012,0.006
47,2022,02/15,11.08553657032433,Matelândia,30.0,0.45,0.9,0.012,0.006
48,2023,02/15,12.54784975172554,Matelândia,30.0,0.45,0.9,0.012,0.006
49,2024,02/15,12.598435418388895,Matelândia,30.0,0.45,0.9,0.012,0.006
50,2015,02/15,12.847687671578612,Medianeira,30.0,0.45,0.9,0.012,0.006
51,2016,02/15,10.960510921791757,Medianeira,30.0,0.45,0.9,0.012,0.006
52,2017,02/15,12.489312558945711,Medianeira,30.0,0.45,0.9,0.012,0.006
53,2018,02/15,12.076322705791716,Medianeira,30.0,0.45,0.9,0.012,0.006
54,2019,02/15,13.12189341337763,Medianeira,30.0,0.45,0.9,0.012,0.006
55,2020,02/15,12.186133747847364,Medianeira,30.0,0.45,0.9,0.012,0.006
56,2021,02/15,13.07875699511174,Medianeira,30.0,0.45,0.9,0.012,0.006
57,2022,02/15,11.452157875801193,Medianeira,30.0,0.45,0.9,0.012,0.006
58,2023,02/15,12.877415457364563,Medianeira,30.0,0.45,0.9,0.012,0.006
59,2024,02/15,12.661103753369625,Medianeira,30.0,0.45,0.9,0.012,0.006
60,2015,02/15,12.942830840692269,Santa Helena,30.0,0.45,0.9,0.012,0.006
61,2016,02/15,11.424268184051664,Santa Helena,30.0,0.45,0.9,0.012,0.006
62,2017,02/15,12.729974729251426,Santa Helena,30.0,0.45,0.9,0.012,0.006
63,2018,02/15,12.474013496281787,Santa Helena,30.0,0.45,0.9,0.012,0.006
64,2019,02/15,13.205628036230788,Santa Helena,30.0,0.45,0.9,0.012,0.006
65,2020,02/15,12.624395235841671,Santa Helena,30.0,0.45,0.9,0.012,0.006
66,2021,02/15,12.93299596104786,Santa Helena,30.0,0.45,0.9,0.012,0.006
67,2022,02/15,11.864466371194869,Santa Helena,30.0,0.45,0.9,0.012,0.006
