,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
61,2016,02/25,11.02717880934755,Santa Helena,30.0,0.45,0.9,0.012,0.006
62,2017,02/25,12.527386502223436,Santa Helena,30.0,0.45,0.9,0.012,0.006
63,2018,02/25,12.261702995327136,Santa Helena,30.0,0.45,0.9,0.012,0.006
64,2019,02/25,13.144660015896994,Santa Helena,30.0,0.45,0.9,0.012,0.006
65,2020,02/25,12.388239212301144,Santa Helena,30.0,0.45,0.9,0.012,0.006
66,2021,02/25,12.62887638045826,Santa Helena,30.0,0.45,0.9,0.012,0.006
67,2022,02/25,11.586886098763555,Santa Helena,30.0,0.45,0.9,0.012,0.006
68,2023,02/25,12.799694421112576,Santa Helena,30.0,0.45,0.9,0.012,0.006
69,2024,02/25,12.708696952260363,Santa Helena,30.0,0.45,0.9,0.012,0.006
70,2015,02/25,12.660408094998798,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
71,2016,02/25,10.516582949440823,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
72,2017,02/25,12.244324753238711,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
73,2018,02/25,11.762428126047448,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
74,2019,02/25,13.013386304274345,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
75,2020,02/25,11.87950876943157,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
76,2021,02/25,12.631065835112887,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
77,2022,02/25,11.11768001260816,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
78,2023,02/25,12.63544249220344,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
79,2024,02/25,12.456435379928926,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
80,2015,02/25,12.22760240733614,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.006
81,2016,02/25,9.622894163130589,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.006
82,2017,02/25,11.764810161901812,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.006
83,2018,02/25,11.387054543386284,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.006
84,2019,02/25,12.656174799305175,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.006
85,2020,02/25,11.518772637482114,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.006
86,2021,02/25,12.257318445894706,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.006
