municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_produtividade,score_economico,score_integrado,componente_agroclimatico,topsis_score,classe_risco_topsis
Boa Vista da Aparecida,25/02/,0.7346683293265843,0.0986506700555185,27,0.2592592592592592,0.1851851851851851,0.1111111111111111,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3323.4687694116856,310.83242667594993,Alta produtividade prevista,50.0,96.04146070925982,Mais viável,1,0,0,1,1.2161296218114759,0.7931158803049504,Baixo risco integrado
Boa Vista da Aparecida,25/03/,0.7461242747288542,0.1197616320394461,27,0.4814814814814814,0.4074074074074074,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3305.124175311395,339.21915773223975,Alta produtividade prevista,50.0,81.57021762644086,Mais viável,3,0,0,3,1.3789456425934794,0.7942882038099605,Baixo risco integrado
Braganey,05/02/,0.7750169967399642,0.1020588779249508,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3366.1048745647067,320.02229917190084,Alta produtividade prevista,50.0,79.79143309279267,Mais viável,2,0,0,2,2.2571289902767377,0.8876422054510601,Baixo risco integrado
Braganey,05/03/,0.7487224708555713,0.0986556873581582,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%,3358.5981420561807,389.22264335232353,Alta produtividade prevista,50.0,92.2961628787468,Mais viável,2,0,0,2,1.6671329119197087,0.8480289383730668,Baixo risco integrado
Braganey,15/02/,0.763423756721751,0.0927218903440827,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3395.7293459513135,381.0076112227864,Alta produtividade prevista,50.0,90.31839267571114,Mais viável,1,0,0,1,2.140578475693405,0.9040249111658416,Baixo risco integrado
Braganey,15/03/,0.7566078904766572,0.1004810545849531,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Risco climático 40%,3348.9461328085677,352.8185439211983,Alta produtividade prevista,50.0,86.25547264126898,Mais viável,2,0,0,2,1.7921731984020628,0.85415095695831,Baixo risco integrado
Braganey,25/02/,0.7429193238747942,0.0974770215229195,27,0.2962962962962963,0.1481481481481481,0.1851851851851851,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3378.969802601038,370.8114362196328,Alta produtividade prevista,50.0,98.19742364499793,Mais viável,1,0,0,1,1.6329559437684527,0.8504393295666961,Baixo risco integrado
Braganey,25/03/,0.7499272613639866,0.115788185402448,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3328.580529333714,337.8234433594653,Alta produtividade prevista,50.0,79.80896944848763,Mais viável,3,0,0,3,1.56180307332709,0.8136839785882737,Baixo risco integrado
Cafelândia,05/02/,0.7366026160824503,0.1173105635896937,27,0.4444444444444444,0.1851851851851851,0.3703703703703703,0.4074074074074074,0.0,0.1481481481481481,Inapto (risco > 40%),3239.6670544323447,399.9258979763859,Alta produtividade prevista,50.0,50.32282526516606,Viabilidade intermediária,3,0,1,4,0.8917855337774542,0.6730370819883231,Baixo risco integrado
Cafelândia,05/03/,0.6978795579441178,0.1108465398763539,27,0.4444444444444444,0.2592592592592592,0.2222222222222222,1.0,0.0,0.4074074074074074,Inapto (risco > 40%),3243.840204626537,466.23351061867714,Alta produtividade prevista,50.0,61.17245210789935,Mais viável,3,0,0,3,0.08930584985156907,0.6013482884143406,Risco integrado intermediário
Cafelândia,15/02/,0.7222215252492826,0.1028729969288194,27,0.3333333333333333,0.074074074074074,0.2962962962962963,0.7407407407407407,0.0,0.1851851851851851,Risco climático 40%,3233.373896628187,402.5684049205087,Produtividade prevista intermediária,50.0,38.03629858903439,Viabilidade intermediária,2,1,1,4,0.5595661418152319,0.6079218686967267,Risco integrado intermediário
Cafelândia,15/03/,0.7041147518172529,0.1081771989122183,27,0.4814814814814814,0.2962962962962963,0.2592592592592592,1.0,0.037037037037037,0.5185185185185185,Inapto (risco > 40%),3251.0641624230143,408.18493795019555,Alta produtividade prevista,50.0,56.89392621617405,Mais viável,3,0,0,3,0.2529439678284522,0.6121847422853491,Risco integrado intermediário
Cafelândia,25/02/,0.6976990419455633,0.1084221259328206,27,0.4074074074074074,0.1481481481481481,0.2962962962962963,0.925925925925926,0.0,0.3333333333333333,Inapto (risco > 40%),3247.271964646299,400.1226852577314,Alta produtividade prevista,50.0,56.22646888276704,Mais viável,3,0,0,3,0.10044105057790369,0.5931279130243027,Risco integrado intermediário
Cafelândia,25/03/,0.6961101471277615,0.1219852063028276,27,0.5555555555555556,0.4814814814814814,0.1481481481481481,1.0,0.1481481481481481,0.3703703703703703,Inapto (risco > 40%),3239.8274926184513,380.48666782764394,Alta produtividade prevista,50.0,50.60699655463997,Viabilidade intermediária,3,0,1,4,0.03431240321921552,0.5742759085978494,Risco integrado intermediário
Campo Bonito,05/02/,0.7746723245647215,0.1022053621080676,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3372.2834230397984,323.7862374611773,Alta produtividade prevista,50.0,81.17777941559483,Mais viável,2,0,0,2,2.2767599406364574,0.8932578486409144,Baixo risco integrado
Campo Bonito,05/03/,0.7482613503434868,0.0988027641994627,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%,3368.4392508873707,389.1228229250176,Alta produtividade prevista,50.0,94.53422894703546,Mais viável,2,0,0,2,1.7002630604958164,0.855356752230421,Baixo risco integrado
Campo Bonito,15/02/,0.7630902088812243,0.0928599180021125,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3401.6684533215575,381.0937599104876,Alta produtividade prevista,50.0,91.86876350849982,Mais viável,1,0,0,1,2.1594013317464458,0.9095684965583257,Baixo risco integrado
Campo Bonito,15/03/,0.7562647320319797,0.1006027511238373,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Risco climático 40%,3363.9242069906427,352.1488914744235,Alta produtividade prevista,50.0,89.65726687661865,Mais viável,2,0,0,2,1.8501982451343402,0.8675385647269931,Baixo risco integrado
