municipio,data_semeadura,isna_medio,isna_desvio,n_anos,risco_climatico,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_economico,score_combinado
Cascavel,15/03/,0.7538578906509842,0.09798989376587329,27,Baixo risco climático,7.7,-834.3618775949067,Mais viável,0,0,0
Cascavel,25/02/,0.7400430828606211,0.09584726048385346,27,Baixo risco climático,7.7,-825.5399409420069,Mais viável,0,0,0
Cascavel,25/03/,0.7488311875001863,0.11420150135566605,27,Baixo risco climático,7.7,-836.5046333333529,Mais viável,0,0,0
Catanduvas,05/02/,0.7784912185788306,0.10164975171877282,27,Baixo risco climático,3.8,-838.6499459561105,Mais viável,0,0,0
Catanduvas,05/03/,0.7542836333084773,0.09690219916875015,27,Baixo risco climático,3.8,-828.5389750579768,Mais viável,0,0,0
Catanduvas,15/02/,0.7678353843316913,0.09132293572389735,27,Baixo risco climático,7.7,-830.0737390797333,Mais viável,0,0,0
Catanduvas,15/03/,0.7622109327481338,0.09811483104587754,27,Baixo risco climático,7.7,-832.9637650629219,Mais viável,0,0,0
Catanduvas,25/02/,0.7486297998838322,0.09633854924681848,27,Baixo risco climático,7.7,-822.6189013468527,Mais viável,0,0,0
Catanduvas,25/03/,0.7567560943570096,0.11412216787798737,27,Baixo risco climático,7.7,-838.1333281121705,Mais viável,0,0,0
Corbélia,05/02/,0.7473366087974344,0.1167847648290244,27,Baixo risco climático,7.7,-873.4944146161154,Mais viável,0,0,0
Corbélia,05/03/,0.7076953512032427,0.11161146097321395,27,Baixo risco climático,7.7,-867.466306608604,Mais viável,0,0,0
Corbélia,15/02/,0.7336000929667233,0.10308154499907665,27,Baixo risco climático,3.8,-884.2519279717633,Viabilidade intermediária,0,1,1
Corbélia,15/03/,0.7145295133901824,0.10821983637476042,27,Baixo risco climático,3.8,-869.5131422558864,Mais viável,0,0,0
Corbélia,25/02/,0.707974400308145,0.10870724798981374,27,Baixo risco climático,3.8,-870.8800246555851,Mais viável,0,0,0
Corbélia,25/03/,0.7068008541913229,0.12235785826322279,27,Baixo risco climático,3.8,-877.5118845532039,Viabilidade intermediária,0,1,1
Céu Azul,05/02/,0.7326195426621467,0.1189392537306219,27,Baixo risco climático,3.8,-887.0589214133561,Viabilidade intermediária,0,1,1
Céu Azul,05/03/,0.7313249466905272,0.09548349731933001,27,Baixo risco climático,7.7,-850.3793771583307,Mais viável,0,0,0
Céu Azul,15/02/,0.7321453356260016,0.09741097812603298,27,Baixo risco climático,7.7,-884.3269125964488,Viabilidade intermediária,0,1,1
Céu Azul,15/03/,0.7403247117966058,0.09836237727556457,27,Baixo risco climático,7.7,-867.569435946517,Mais viável,0,0,0
Céu Azul,25/02/,0.7236931136665788,0.09831462317720412,27,Baixo risco climático,7.7,-857.1191595131281,Mais viável,0,0,0
Céu Azul,25/03/,0.741370682030982,0.11593646469136935,27,Baixo risco climático,3.8,-874.2794653681958,Viabilidade intermediária,0,1,1
Diamante D'Oeste,05/02/,0.6725791217487554,0.1404638252627179,27,Baixo risco climático,3.8,-987.3548746105039,Menos viável,0,2,2
Diamante D'Oeste,05/03/,0.6850264488333935,0.11383392905148447,27,Baixo risco climático,3.8,-950.863133846618,Menos viável,0,2,2
Diamante D'Oeste,15/02/,0.6753336280949022,0.11910674342244311,27,Baixo risco climático,3.8,-967.6278434933216,Menos viável,0,2,2
Diamante D'Oeste,15/03/,0.7042963443197316,0.10981823305190574,27,Baixo risco climático,3.8,-982.9362338058373,Menos viável,0,2,2
Diamante D'Oeste,25/02/,0.6714475147844282,0.11477631354011525,27,Baixo risco climático,3.8,-958.949522466556,Menos viável,0,2,2
Diamante D'Oeste,25/03/,0.7122999577748649,0.12399619661753865,27,Baixo risco climático,3.8,-953.7102373506697,Menos viável,0,2,2
