municipio,data_semeadura,n_anos,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico
Formosa do Oeste,25/03/,26,57.7,177.4566705518117,Viabilidade intermediária
Foz do Iguaçu,05/02/,26,53.8,106.20059255201191,Menos viável
Foz do Iguaçu,05/03/,26,53.8,203.47964109562173,Mais viável
Foz do Iguaçu,15/02/,26,53.8,159.38682910541846,Viabilidade intermediária
Foz do Iguaçu,15/03/,26,57.7,175.12004157955246,Viabilidade intermediária
Foz do Iguaçu,25/02/,26,53.8,204.51241654739758,Mais viável
Foz do Iguaçu,25/03/,26,57.7,180.2213723599405,Viabilidade intermediária
Guaraniaçu,05/02/,26,57.7,227.13155468162174,Mais viável
Guaraniaçu,05/03/,26,57.7,235.9819188812838,Mais viável
Guaraniaçu,15/02/,26,57.7,237.43017340566487,Mais viável
Guaraniaçu,15/03/,26,57.7,232.43181448254285,Mais viável
Guaraniaçu,25/02/,26,57.7,242.21083177849033,Mais viável
Guaraniaçu,25/03/,26,57.7,227.609787602308,Mais viável
Guaíra,05/02/,26,53.8,125.41934974528759,Menos viável
Guaíra,05/03/,26,53.8,132.683390519155,Menos viável
Guaíra,15/02/,26,53.8,109.0754832240425,Menos viável
Guaíra,15/03/,26,53.8,112.97947495091283,Menos viável
Guaíra,25/02/,26,53.8,132.3129835094452,Menos viável
Guaíra,25/03/,26,53.8,142.87571415914002,Menos viável
Ibema,05/02/,26,57.7,224.161445687435,Mais viável
Ibema,05/03/,26,57.7,237.17500917110212,Mais viável
Ibema,15/02/,26,57.7,234.3588988261698,Mais viável
Ibema,15/03/,26,57.7,234.95421632838455,Mais viável
Ibema,25/02/,26,57.7,244.71524412334153,Mais viável
Ibema,25/03/,26,57.7,230.61064396564325,Mais viável
Iguatu,05/02/,26,53.8,195.61178905633034,Mais viável
Iguatu,05/03/,26,53.8,198.98314619638674,Mais viável
Iguatu,15/02/,26,53.8,185.48647866193053,Viabilidade intermediária
Iguatu,15/03/,26,57.7,196.07829380319393,Mais viável
Iguatu,25/02/,26,57.7,194.7115839057437,Mais viável
Iguatu,25/03/,26,57.7,187.2778283822314,Viabilidade intermediária
Iracema do Oeste,05/02/,26,53.8,184.2186146853953,Viabilidade intermediária
Iracema do Oeste,05/03/,26,53.8,191.49831909340725,Viabilidade intermediária
Iracema do Oeste,15/02/,26,53.8,169.6414922822585,Viabilidade intermediária
Iracema do Oeste,15/03/,26,57.7,186.8008371179597,Viabilidade intermediária
Iracema do Oeste,25/02/,26,57.7,187.13225801200664,Viabilidade intermediária
Iracema do Oeste,25/03/,26,57.7,181.40384770846666,Viabilidade intermediária
Itaipulândia,05/02/,26,53.8,75.42546695513926,Menos viável
Itaipulândia,05/03/,26,53.8,117.99376954178622,Menos viável
Itaipulândia,15/02/,26,53.8,95.01495492034648,Menos viável
Itaipulândia,15/03/,26,53.8,86.05010238347958,Menos viável
Itaipulândia,25/02/,26,53.8,110.78710960424769,Menos viável
Itaipulândia,25/03/,26,57.7,112.76007926000771,Menos viável
Jesuítas,05/02/,26,53.8,183.94106881920595,Viabilidade intermediária
Jesuítas,05/03/,26,53.8,190.877619675533,Viabilidade intermediária
Jesuítas,15/02/,26,53.8,169.35398221307776,Viabilidade intermediária
Jesuítas,15/03/,26,57.7,186.91282588737207,Viabilidade intermediária
Jesuítas,25/02/,26,57.7,186.67649627648277,Viabilidade intermediária
Jesuítas,25/03/,26,57.7,181.13987528451722,Viabilidade intermediária
Lindoeste,05/02/,26,53.8,162.61127412165337,Viabilidade intermediária
Lindoeste,05/03/,26,53.8,211.01770627690047,Mais viável
Lindoeste,15/02/,26,53.8,196.1821615077509,Mais viável
Lindoeste,15/03/,26,57.7,193.1816865475181,Viabilidade intermediária
Lindoeste,25/02/,26,57.7,218.8534324839454,Mais viável
Lindoeste,25/03/,26,57.7,205.2501903022255,Mais viável
Marechal Cândido Rondon,05/02/,26,53.8,95.3300680323231,Menos viável
Marechal Cândido Rondon,05/03/,26,53.8,122.26639773841792,Menos viável
Marechal Cândido Rondon,15/02/,26,53.8,103.57867146132506,Menos viável
Marechal Cândido Rondon,15/03/,26,53.8,83.64128015034301,Menos viável
Marechal Cândido Rondon,25/02/,26,53.8,137.21603687179618,Menos viável
Marechal Cândido Rondon,25/03/,26,53.8,111.00220792561215,Menos viável
Maripá,05/02/,26,53.8,160.37206097746093,Viabilidade intermediária
Maripá,05/03/,26,53.8,166.25890185883802,Viabilidade intermediária
Maripá,15/02/,26,53.8,130.3817396840999,Menos viável
Maripá,15/03/,26,53.8,148.12592884508783,Menos viável
Maripá,25/02/,26,53.8,163.4330376662984,Viabilidade intermediária
Maripá,25/03/,26,53.8,156.65168887813732,Menos viável
Matelândia,05/02/,26,53.8,160.32614735886378,Viabilidade intermediária
Matelândia,05/03/,26,53.8,207.01512444307167,Mais viável
Matelândia,15/02/,26,53.8,191.96227694316147,Viabilidade intermediária
Matelândia,15/03/,26,57.7,188.23636372636668,Viabilidade intermediária
Matelândia,25/02/,26,57.7,217.13819231572595,Mais viável
Matelândia,25/03/,26,57.7,200.26638477515706,Mais viável
Medianeira,05/02/,26,53.8,116.6414536601566,Menos viável
Medianeira,05/03/,26,53.8,182.13831049172265,Viabilidade intermediária
Medianeira,15/02/,26,53.8,153.27681050588495,Menos viável
Medianeira,15/03/,26,53.8,150.0600090918035,Menos viável
Medianeira,25/02/,26,53.8,172.61953793364998,Viabilidade intermediária
Medianeira,25/03/,26,53.8,170.87825217404946,Viabilidade intermediária
Mercedes,05/02/,26,53.8,93.02001653694506,Menos viável
Mercedes,05/03/,26,53.8,117.28450561674444,Menos viável
Mercedes,15/02/,26,53.8,100.04756450512333,Menos viável
Mercedes,15/03/,26,53.8,79.34968431567577,Menos viável
Mercedes,25/02/,26,53.8,130.84224761858218,Menos viável
Mercedes,25/03/,26,53.8,107.8591344371709,Menos viável
Missal,05/02/,26,53.8,76.48651502279944,Menos viável
Missal,05/03/,26,53.8,114.77816471086544,Menos viável
Missal,15/02/,26,53.8,93.63173646849769,Menos viável
Missal,15/03/,26,53.8,83.03529073756637,Menos viável
Missal,25/02/,26,53.8,108.17605325064204,Menos viável
Missal,25/03/,26,57.7,110.84062177869404,Menos viável
Nova Aurora,05/02/,26,53.8,186.06429701298595,Viabilidade intermediária
Nova Aurora,05/03/,26,53.8,193.03415236776507,Viabilidade intermediária
Nova Aurora,15/02/,26,53.8,172.26634274516934,Viabilidade intermediária
Nova Aurora,15/03/,26,57.7,189.70179534028688,Viabilidade intermediária
Nova Aurora,25/02/,26,57.7,188.61857777396816,Viabilidade intermediária
Nova Aurora,25/03/,26,57.7,183.36063678226245,Viabilidade intermediária
Nova Santa Rosa,05/02/,26,53.8,160.19255853481872,Viabilidade intermediária
Nova Santa Rosa,05/03/,26,53.8,165.31740455561584,Viabilidade intermediária
Nova Santa Rosa,15/02/,26,53.8,130.16149523306305,Menos viável
Nova Santa Rosa,15/03/,26,53.8,148.1904355521409,Menos viável
Nova Santa Rosa,25/02/,26,53.8,162.05059393834094,Viabilidade intermediária
Nova Santa Rosa,25/03/,26,53.8,156.77015109173243,Viabilidade intermediária
Ouro Verde do Oeste,05/02/,26,53.8,171.67112823497538,Viabilidade intermediária
Ouro Verde do Oeste,05/03/,26,53.8,212.92134586826518,Mais viável
Ouro Verde do Oeste,15/02/,26,53.8,176.30990968491375,Viabilidade intermediária
Ouro Verde do Oeste,15/03/,26,53.8,192.99753884041735,Viabilidade intermediária
Ouro Verde do Oeste,25/02/,26,57.7,202.44734447819266,Mais viável
Ouro Verde do Oeste,25/03/,26,57.7,183.96240649896708,Viabilidade intermediária
Palotina,05/02/,26,53.8,156.76555769370205,Menos viável
Palotina,05/03/,26,53.8,159.26908016869004,Viabilidade intermediária
Palotina,15/02/,26,53.8,126.40242571663174,Menos viável
Palotina,15/03/,26,53.8,143.37459485881183,Menos viável
Palotina,25/02/,26,53.8,158.69236369697214,Viabilidade intermediária
Palotina,25/03/,26,53.8,151.8994751426691,Menos viável
Pato Bragado,05/02/,26,53.8,90.89823176302829,Menos viável
