municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_produtividade,score_economico,score_integrado
Anahy,05/02/,0.7493778837860363,0.1166926790381179,27,0.4444444444444444,0.1481481481481481,0.3703703703703703,0.4074074074074074,0.0,0.2222222222222222,Inapto (risco > 40%),3259.204101596609,413.4525435139072,Alta produtividade prevista,7.7,-874.3410286090067,Viabilidade intermediária,3,0,1,4
Anahy,05/03/,0.7095964613767664,0.1116797010403957,27,0.3703703703703703,0.2222222222222222,0.1851851851851851,1.0,0.0,0.4444444444444444,Risco climático 40%,3232.978568350648,471.68458211181235,Produtividade prevista intermediária,7.7,-871.184143588304,Mais viável,2,1,0,3
Anahy,15/02/,0.7357809111323024,0.103091857829665,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.7407407407407407,0.0,0.2592592592592592,Risco climático 30%,3254.8949451432845,406.23677495393315,Alta produtividade prevista,3.8,-885.6370173796408,Viabilidade intermediária,1,0,1,2
Anahy,15/03/,0.7163762380807691,0.108367212581462,27,0.4814814814814814,0.2962962962962963,0.2592592592592592,1.0,0.037037037037037,0.5185185185185185,Inapto (risco > 40%),3242.164063756979,396.3562641527142,Alta produtividade prevista,3.8,-874.0480590468204,Viabilidade intermediária,3,0,1,4
Anahy,25/02/,0.7100115020839074,0.1088044930523154,27,0.3333333333333333,0.1111111111111111,0.2592592592592592,0.925925925925926,0.0,0.3703703703703703,Risco climático 40%,3243.538913607429,404.93671835857333,Alta produtividade prevista,3.8,-874.8327992258588,Viabilidade intermediária,2,0,1,3
Anahy,25/03/,0.7088052239088216,0.1223937912937696,27,0.5555555555555556,0.4814814814814814,0.1481481481481481,1.0,0.1481481481481481,0.4814814814814814,Inapto (risco > 40%),3224.5296778427855,383.3150515075837,Produtividade prevista intermediária,3.8,-881.8922967460583,Viabilidade intermediária,3,1,1,5
Assis Chateaubriand,05/02/,0.7121457514299591,0.1251530896324591,27,0.5185185185185185,0.1851851851851851,0.4074074074074074,0.4074074074074074,0.0,0.1851851851851851,Inapto (risco > 40%),3123.4361289829976,514.5277907952619,Produtividade prevista intermediária,7.7,-908.7491295905592,Viabilidade intermediária,3,1,1,5
Assis Chateaubriand,05/03/,0.6916828756344694,0.1118963806604964,27,0.4074074074074074,0.2592592592592592,0.2592592592592592,1.0,0.0,0.4074074074074074,Inapto (risco > 40%),3120.540632265542,615.8655590808605,Produtividade prevista intermediária,7.7,-902.6834872947984,Viabilidade intermediária,3,1,1,5
Assis Chateaubriand,15/02/,0.7076627827713984,0.1075038457581336,27,0.2962962962962963,0.074074074074074,0.2592592592592592,0.7407407407407407,0.0,0.2222222222222222,Risco climático 30%,3067.014071978156,600.4674170286975,Baixa produtividade prevista,3.8,-938.787866203759,Menos viável,1,2,2,5
Assis Chateaubriand,15/03/,0.6982641537006857,0.1121031829944386,27,0.6296296296296297,0.5185185185185185,0.1851851851851851,1.0,0.037037037037037,0.4074074074074074,Inapto (risco > 40%),3102.831127107635,586.1157077518908,Baixa produtividade prevista,7.7,-920.158706361525,Menos viável,3,2,2,7
