municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_produtividade,score_economico,score_integrado
Anahy,05/02/,0.7493778837860363,0.1166926790381179,27,0.4444444444444444,0.1481481481481481,0.3703703703703703,0.4074074074074074,0.0,0.2222222222222222,Inapto (risco > 40%),3259.204101596609,413.45254351390753,Alta produtividade prevista,50.0,55.25115332226336,Viabilidade intermediária,3,0,1,4
Anahy,05/03/,0.7095964613767664,0.1116797010403957,27,0.3703703703703703,0.2222222222222222,0.1851851851851851,1.0,0.0,0.4444444444444444,Risco climático 40%,3232.978568350648,471.6845821118121,Produtividade prevista intermediária,50.0,58.4080383429654,Mais viável,2,1,0,3
Anahy,15/02/,0.7357809111323024,0.103091857829665,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.7407407407407407,0.0,0.2592592592592592,Risco climático 30%,3254.8949451432845,406.2367749539332,Alta produtividade prevista,50.0,43.95516455162894,Viabilidade intermediária,1,0,1,2
Anahy,15/03/,0.7163762380807691,0.108367212581462,27,0.4814814814814814,0.2962962962962963,0.2592592592592592,1.0,0.037037037037037,0.5185185185185185,Inapto (risco > 40%),3242.164063756979,396.3562641527142,Alta produtividade prevista,50.0,55.54412288444907,Viabilidade intermediária,3,0,1,4
Anahy,25/02/,0.7100115020839074,0.1088044930523154,27,0.3333333333333333,0.1111111111111111,0.2592592592592592,0.925925925925926,0.0,0.3703703703703703,Risco climático 40%,3243.538913607429,404.93671835857356,Alta produtividade prevista,50.0,54.75938270541096,Viabilidade intermediária,2,0,1,3
Anahy,25/03/,0.7088052239088216,0.1223937912937696,27,0.5555555555555556,0.4814814814814814,0.1481481481481481,1.0,0.1481481481481481,0.4814814814814814,Inapto (risco > 40%),3224.5296778427855,383.3150515075837,Produtividade prevista intermediária,50.0,47.699885185211535,Viabilidade intermediária,3,1,1,5
Assis Chateaubriand,05/02/,0.7121457514299591,0.1251530896324591,27,0.5185185185185185,0.1851851851851851,0.4074074074074074,0.4074074074074074,0.0,0.1851851851851851,Inapto (risco > 40%),3123.4361289829976,514.5277907952618,Produtividade prevista intermediária,50.0,20.84305234071044,Viabilidade intermediária,3,1,1,5
Assis Chateaubriand,05/03/,0.6916828756344694,0.1118963806604964,27,0.4074074074074074,0.2592592592592592,0.2592592592592592,1.0,0.0,0.4074074074074074,Inapto (risco > 40%),3120.540632265542,615.8655590808606,Produtividade prevista intermediária,50.0,26.908694636471434,Viabilidade intermediária,3,1,1,5
Assis Chateaubriand,15/02/,0.7076627827713984,0.1075038457581336,27,0.2962962962962963,0.074074074074074,0.2592592592592592,0.7407407407407407,0.0,0.2222222222222222,Risco climático 30%,3067.014071978156,600.4674170286976,Baixa produtividade prevista,46.2,-9.195684272489425,Menos viável,1,2,2,5
Assis Chateaubriand,15/03/,0.6982641537006857,0.1121031829944386,27,0.6296296296296297,0.5185185185185185,0.1851851851851851,1.0,0.037037037037037,0.4074074074074074,Inapto (risco > 40%),3102.831127107635,586.1157077518908,Baixa produtividade prevista,46.2,9.433475569744528,Menos viável,3,2,2,7
Assis Chateaubriand,25/02/,0.6893497333311531,0.1099295582248046,27,0.3703703703703703,0.2222222222222222,0.1851851851851851,0.8888888888888888,0.0,0.2962962962962963,Risco climático 40%,3108.9533951502517,542.5307447361837,Produtividade prevista intermediária,46.2,24.719024743154343,Viabilidade intermediária,2,1,1,4
Assis Chateaubriand,25/03/,0.6990632357662605,0.1222270136190685,27,0.7037037037037037,0.6296296296296297,0.1481481481481481,1.0,0.1481481481481481,0.4074074074074074,Inapto (risco > 40%),3125.6285395768855,557.4568190107506,Produtividade prevista intermediária,50.0,18.49506956244846,Viabilidade intermediária,3,1,1,5
Boa Vista da Aparecida,05/02/,0.7571704753342134,0.1042118356964033,27,0.4074074074074074,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.0,0.3333333333333333,Inapto (risco > 40%),3260.4016995821667,350.65681171622,Alta produtividade prevista,50.0,56.2908903451288,Mais viável,3,0,0,3
Boa Vista da Aparecida,05/03/,0.7430724633972594,0.0997492252116035,27,0.3703703703703703,0.2592592592592592,0.1481481481481481,1.0,0.0,0.5925925925925926,Risco climático 40%,3310.941075692675,394.49070006324524,Alta produtividade prevista,50.0,88.56363683952107,Mais viável,2,0,0,2
Boa Vista da Aparecida,15/02/,0.7472407744886106,0.0962708530555981,27,0.2222222222222222,0.037037037037037,0.1851851851851851,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3341.900707063746,344.28630772038053,Alta produtividade prevista,50.0,92.29326153229756,Mais viável,1,0,0,1
Boa Vista da Aparecida,15/03/,0.7516551028725231,0.105215305114228,27,0.4444444444444444,0.3333333333333333,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Inapto (risco > 40%),3323.660758053751,342.826191323235,Alta produtividade prevista,50.0,83.44712715730415,Mais viável,3,0,0,3
Boa Vista da Aparecida,25/02/,0.7346683293265843,0.0986506700555185,27,0.2592592592592592,0.1851851851851851,0.1111111111111111,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3323.4687694116856,310.83242667594993,Alta produtividade prevista,50.0,96.04146070925982,Mais viável,1,0,0,1
Boa Vista da Aparecida,25/03/,0.7461242747288542,0.1197616320394461,27,0.4814814814814814,0.4074074074074074,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3305.124175311395,339.21915773223975,Alta produtividade prevista,50.0,81.57021762644086,Mais viável,3,0,0,3
Braganey,05/02/,0.7750169967399642,0.1020588779249508,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3366.1048745647067,320.02229917190084,Alta produtividade prevista,50.0,79.79143309279267,Mais viável,2,0,0,2
Braganey,05/03/,0.7487224708555713,0.0986556873581582,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%,3358.5981420561807,389.22264335232353,Alta produtividade prevista,50.0,92.2961628787468,Mais viável,2,0,0,2
Braganey,15/02/,0.763423756721751,0.0927218903440827,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3395.7293459513135,381.0076112227864,Alta produtividade prevista,50.0,90.31839267571114,Mais viável,1,0,0,1
Braganey,15/03/,0.7566078904766572,0.1004810545849531,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Risco climático 40%,3348.9461328085677,352.8185439211983,Alta produtividade prevista,50.0,86.25547264126898,Mais viável,2,0,0,2
Braganey,25/02/,0.7429193238747942,0.0974770215229195,27,0.2962962962962963,0.1481481481481481,0.1851851851851851,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3378.969802601038,370.8114362196328,Alta produtividade prevista,50.0,98.19742364499793,Mais viável,1,0,0,1
Braganey,25/03/,0.7499272613639866,0.115788185402448,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3328.580529333714,337.8234433594653,Alta produtividade prevista,50.0,79.80896944848763,Mais viável,3,0,0,3
Cafelândia,05/02/,0.7366026160824503,0.1173105635896937,27,0.4444444444444444,0.1851851851851851,0.3703703703703703,0.4074074074074074,0.0,0.1481481481481481,Inapto (risco > 40%),3239.6670544323447,399.9258979763859,Alta produtividade prevista,50.0,50.32282526516606,Viabilidade intermediária,3,0,1,4
Cafelândia,05/03/,0.6978795579441178,0.1108465398763539,27,0.4444444444444444,0.2592592592592592,0.2222222222222222,1.0,0.0,0.4074074074074074,Inapto (risco > 40%),3243.840204626537,466.23351061867714,Alta produtividade prevista,50.0,61.17245210789935,Mais viável,3,0,0,3
Cafelândia,15/02/,0.7222215252492826,0.1028729969288194,27,0.3333333333333333,0.074074074074074,0.2962962962962963,0.7407407407407407,0.0,0.1851851851851851,Risco climático 40%,3233.373896628187,402.5684049205087,Produtividade prevista intermediária,50.0,38.03629858903439,Viabilidade intermediária,2,1,1,4
Cafelândia,15/03/,0.7041147518172529,0.1081771989122183,27,0.4814814814814814,0.2962962962962963,0.2592592592592592,1.0,0.037037037037037,0.5185185185185185,Inapto (risco > 40%),3251.0641624230143,408.18493795019555,Alta produtividade prevista,50.0,56.89392621617405,Mais viável,3,0,0,3
Cafelândia,25/02/,0.6976990419455633,0.1084221259328206,27,0.4074074074074074,0.1481481481481481,0.2962962962962963,0.925925925925926,0.0,0.3333333333333333,Inapto (risco > 40%),3247.271964646299,400.1226852577314,Alta produtividade prevista,50.0,56.22646888276704,Mais viável,3,0,0,3
Cafelândia,25/03/,0.6961101471277615,0.1219852063028276,27,0.5555555555555556,0.4814814814814814,0.1481481481481481,1.0,0.1481481481481481,0.3703703703703703,Inapto (risco > 40%),3239.8274926184513,380.48666782764394,Alta produtividade prevista,50.0,50.60699655463997,Viabilidade intermediária,3,0,1,4
Campo Bonito,05/02/,0.7746723245647215,0.1022053621080676,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3372.2834230397984,323.7862374611773,Alta produtividade prevista,50.0,81.17777941559483,Mais viável,2,0,0,2
Campo Bonito,05/03/,0.7482613503434868,0.0988027641994627,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%,3368.4392508873707,389.1228229250176,Alta produtividade prevista,50.0,94.53422894703546,Mais viável,2,0,0,2
Campo Bonito,15/02/,0.7630902088812243,0.0928599180021125,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3401.6684533215575,381.0937599104876,Alta produtividade prevista,50.0,91.86876350849982,Mais viável,1,0,0,1
Campo Bonito,15/03/,0.7562647320319797,0.1006027511238373,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Risco climático 40%,3363.9242069906427,352.1488914744235,Alta produtividade prevista,50.0,89.65726687661865,Mais viável,2,0,0,2
Campo Bonito,25/02/,0.7425153588489667,0.0976013787639225,27,0.2962962962962963,0.1481481481481481,0.1851851851851851,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3387.481627007036,373.46340072511623,Alta produtividade prevista,50.0,100.17301096535886,Mais viável,1,0,0,1
Campo Bonito,25/03/,0.7495703859038966,0.1158908910245871,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3345.352691654908,338.89440799012374,Alta produtividade prevista,50.0,83.61838097905014,Mais viável,3,0,0,3
Capitão Leônidas Marques,05/02/,0.7376015574398944,0.1148236618513721,27,0.2962962962962963,0.2222222222222222,0.1481481481481481,0.5185185185185185,0.0,0.4074074074074074,Risco climático 30%,3143.842146541071,648.80518203233,Produtividade prevista intermediária,50.0,20.12281504841671,Viabilidade intermediária,1,1,1,3
Capitão Leônidas Marques,05/03/,0.7446292840523315,0.0885818427538142,27,0.3333333333333333,0.2592592592592592,0.1111111111111111,1.0,0.0,0.5555555555555556,Risco climático 40%,3233.240391391845,583.7417607749983,Produtividade prevista intermediária,53.8,68.50189585353696,Mais viável,2,1,0,3
Capitão Leônidas Marques,15/02/,0.737455018213125,0.094127253314512,27,0.2962962962962963,0.1111111111111111,0.2222222222222222,0.8148148148148148,0.0,0.4074074074074074,Risco climático 30%,3215.8362876411343,636.7319741325757,Produtividade prevista intermediária,50.0,52.40392245667847,Viabilidade intermediária,1,1,1,3
Capitão Leônidas Marques,15/03/,0.757396610128263,0.0912038283209195,27,0.4814814814814814,0.3703703703703703,0.1111111111111111,1.0,0.037037037037037,0.4814814814814814,Inapto (risco > 40%),3217.1446877987396,557.7882219692509,Produtividade prevista intermediária,50.0,50.401952110634255,Viabilidade intermediária,3,1,1,5
Capitão Leônidas Marques,25/02/,0.7328525414600455,0.0929130870927183,27,0.2592592592592592,0.2222222222222222,0.1111111111111111,0.9629629629629628,0.0,0.5185185185185185,Risco climático 30%,3274.123132711393,495.59645297472827,Alta produtividade prevista,46.2,78.42436112051051,Mais viável,1,0,0,1
Capitão Leônidas Marques,25/03/,0.7584358204781867,0.1077519170572786,27,0.5185185185185185,0.4814814814814814,0.074074074074074,1.0,0.1851851851851851,0.5925925925925926,Inapto (risco > 40%),3232.0013596684475,592.9740747047522,Produtividade prevista intermediária,53.8,63.39703085433491,Mais viável,3,1,0,4
