,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
0,2015,01/15,13.178266599049813,Cascavel,30.0,0.45,0.9,0.012,0.006
1,2016,01/15,12.310623862662474,Cascavel,30.0,0.45,0.9,0.012,0.006
2,2017,01/15,12.896129684446052,Cascavel,30.0,0.45,0.9,0.012,0.006
3,2018,01/15,13.214791072541704,Cascavel,30.0,0.45,0.9,0.012,0.006
4,2019,01/15,13.335829450248108,Cascavel,30.0,0.45,0.9,0.012,0.006
5,2020,01/15,12.896073732012379,Cascavel,30.0,0.45,0.9,0.012,0.006
6,2021,01/15,13.304802936139103,Cascavel,30.0,0.45,0.9,0.012,0.006
7,2022,01/15,12.660492620818758,Cascavel,30.0,0.45,0.9,0.012,0.006
8,2023,01/15,13.019982072327947,Cascavel,30.0,0.45,0.9,0.012,0.006
9,2024,01/15,13.469177569457234,Cascavel,30.0,0.45,0.9,0.012,0.006
10,2015,01/15,13.268078168054581,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
11,2016,01/15,12.660728304855178,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
12,2017,01/15,13.212676027408438,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
13,2018,01/15,13.308380746763625,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
14,2019,01/15,13.321414613735676,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
15,2020,01/15,13.225524450741396,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
16,2021,01/15,12.824304922105199,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
17,2022,01/15,12.952407924884081,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
18,2023,01/15,13.351709844347806,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
19,2024,01/15,13.434239203058171,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
20,2015,01/15,13.278806085081685,Guaíra,30.0,0.45,0.9,0.012,0.006
21,2016,01/15,12.789275945382654,Guaíra,30.0,0.45,0.9,0.012,0.006
22,2017,01/15,13.218557657454008,Guaíra,30.0,0.45,0.9,0.012,0.006
23,2018,01/15,13.34082328958291,Guaíra,30.0,0.45,0.9,0.012,0.006
24,2019,01/15,13.362638015559071,Guaíra,30.0,0.45,0.9,0.012,0.006
25,2020,01/15,13.437270631412886,Guaíra,30.0,0.45,0.9,0.012,0.006
26,2021,01/15,13.452183174094154,Guaíra,30.0,0.45,0.9,0.012,0.006
27,2022,01/15,13.019312144250419,Guaíra,30.0,0.45,0.9,0.012,0.006
28,2023,01/15,13.427700800360235,Guaíra,30.0,0.45,0.9,0.012,0.006
29,2024,01/15,13.570186334415105,Guaíra,30.0,0.45,0.9,0.012,0.006
30,2015,01/15,13.291561439471957,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
31,2016,01/15,12.838277368671438,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
32,2017,01/15,13.24302542052651,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
33,2018,01/15,13.370384799913573,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
34,2019,01/15,13.345051776360485,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
35,2020,01/15,12.357254350512328,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
36,2021,01/15,13.476958376087815,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
37,2022,01/15,13.023967145744418,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
38,2023,01/15,13.46595753715459,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
39,2024,01/15,13.567861919546198,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
40,2015,01/15,13.228828904445473,Matelândia,30.0,0.45,0.9,0.012,0.006
41,2016,01/15,12.452291934718719,Matelândia,30.0,0.45,0.9,0.012,0.006
42,2017,01/15,13.073933641459364,Matelândia,30.0,0.45,0.9,0.012,0.006
43,2018,01/15,13.256790089292581,Matelândia,30.0,0.45,0.9,0.012,0.006
44,2019,01/15,13.309867422558531,Matelândia,30.0,0.45,0.9,0.012,0.006
45,2020,01/15,13.040934807517909,Matelândia,30.0,0.45,0.9,0.012,0.006
46,2021,01/15,13.39667466103948,Matelândia,30.0,0.45,0.9,0.012,0.006
47,2022,01/15,12.771014420885049,Matelândia,30.0,0.45,0.9,0.012,0.006
48,2023,01/15,13.232863760744277,Matelândia,30.0,0.45,0.9,0.012,0.006
49,2024,01/15,13.432676311207143,Matelândia,30.0,0.45,0.9,0.012,0.006
50,2015,01/15,13.267747402233043,Medianeira,30.0,0.45,0.9,0.012,0.006
51,2016,01/15,12.660228980864774,Medianeira,30.0,0.45,0.9,0.012,0.006
52,2017,01/15,13.212441015245505,Medianeira,30.0,0.45,0.9,0.012,0.006
53,2018,01/15,13.307879217996694,Medianeira,30.0,0.45,0.9,0.012,0.006
54,2019,01/15,13.32081255884493,Medianeira,30.0,0.45,0.9,0.012,0.006
55,2020,01/15,13.225492139470132,Medianeira,30.0,0.45,0.9,0.012,0.006
56,2021,01/15,12.786104496982619,Medianeira,30.0,0.45,0.9,0.012,0.006
57,2022,01/15,12.951679366678094,Medianeira,30.0,0.45,0.9,0.012,0.006
58,2023,01/15,13.351248928391177,Medianeira,30.0,0.45,0.9,0.012,0.006
59,2024,01/15,13.433642862889759,Medianeira,30.0,0.45,0.9,0.012,0.006
60,2015,01/15,13.320738882212062,Santa Helena,30.0,0.45,0.9,0.012,0.006
61,2016,01/15,12.802015774635962,Santa Helena,30.0,0.45,0.9,0.012,0.006
62,2017,01/15,13.272157536080856,Santa Helena,30.0,0.45,0.9,0.012,0.006
63,2018,01/15,13.34829394259519,Santa Helena,30.0,0.45,0.9,0.012,0.006
64,2019,01/15,13.317307782848665,Santa Helena,30.0,0.45,0.9,0.012,0.006
65,2020,01/15,12.706600172879916,Santa Helena,30.0,0.45,0.9,0.012,0.006
66,2021,01/15,12.22732956524562,Santa Helena,30.0,0.45,0.9,0.012,0.006
67,2022,01/15,13.040493873116517,Santa Helena,30.0,0.45,0.9,0.012,0.006
68,2023,01/15,13.473640968155834,Santa Helena,30.0,0.45,0.9,0.012,0.006
69,2024,01/15,13.285651896320614,Santa Helena,30.0,0.45,0.9,0.012,0.006
70,2015,01/15,13.268032833654056,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
71,2016,01/15,12.66065838817097,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
72,2017,01/15,13.21264289824542,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
73,2018,01/15,13.308288800756296,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
74,2019,01/15,13.3213143427742,São Miguel do Iguaçu,30.0,0.45,0.9,0.012,0.006
