,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
0,2015,01/25,13.08193407661772,Cascavel,30.0,0.45,0.9,0.012,0.006
1,2016,01/25,11.837301193611118,Cascavel,30.0,0.45,0.9,0.012,0.006
2,2017,01/25,12.797159273806502,Cascavel,30.0,0.45,0.9,0.012,0.006
3,2018,01/25,12.808536015141225,Cascavel,30.0,0.45,0.9,0.012,0.006
4,2019,01/25,13.170262916975128,Cascavel,30.0,0.45,0.9,0.012,0.006
5,2020,01/25,12.448901929963313,Cascavel,30.0,0.45,0.9,0.012,0.006
6,2021,01/25,13.030796053686947,Cascavel,30.0,0.45,0.9,0.012,0.006
7,2022,01/25,12.07763303873808,Cascavel,30.0,0.45,0.9,0.012,0.006
8,2023,01/25,12.84067973201106,Cascavel,30.0,0.45,0.9,0.012,0.006
9,2024,01/25,13.094964374594543,Cascavel,30.0,0.45,0.9,0.012,0.006
10,2015,01/25,13.196585689365293,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
11,2016,01/25,12.400209698786595,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
12,2017,01/25,13.15773724516939,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
13,2018,01/25,13.066667415093491,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
14,2019,01/25,13.31707437044132,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
15,2020,01/25,12.866690617729288,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
16,2021,01/25,13.302384285587433,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
17,2022,01/25,12.510763500129585,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
18,2023,01/25,13.35254319147883,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
19,2024,01/25,13.035792139621522,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
20,2015,01/25,13.253624334508292,Guaíra,30.0,0.45,0.9,0.012,0.006
21,2016,01/25,12.578133478055513,Guaíra,30.0,0.45,0.9,0.012,0.006
22,2017,01/25,13.179987625722948,Guaíra,30.0,0.45,0.9,0.012,0.006
23,2018,01/25,13.171214686533462,Guaíra,30.0,0.45,0.9,0.012,0.006
24,2019,01/25,13.310340461476368,Guaíra,30.0,0.45,0.9,0.012,0.006
25,2020,01/25,13.206509271936703,Guaíra,30.0,0.45,0.9,0.012,0.006
26,2021,01/25,13.38507486077162,Guaíra,30.0,0.45,0.9,0.012,0.006
27,2022,01/25,12.647388193820767,Guaíra,30.0,0.45,0.9,0.012,0.006
28,2023,01/25,13.429808969591225,Guaíra,30.0,0.45,0.9,0.012,0.006
29,2024,01/25,13.368452214750043,Guaíra,30.0,0.45,0.9,0.012,0.006
30,2015,01/25,13.275108701027513,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
31,2016,01/25,12.648518259967295,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
32,2017,01/25,13.220088358751594,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
33,2018,01/25,13.25127598445422,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
34,2019,01/25,13.34845524366613,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
35,2020,01/25,12.34901333149115,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
36,2021,01/25,13.411054112385703,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
37,2022,01/25,12.666574312379025,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
38,2023,01/25,13.46828608675863,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
39,2024,01/25,13.350720359241619,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
