municipio,data_semeadura,n_anos,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico
Formosa do Oeste,25/03/,26,50.0,39.08191279569736,Viabilidade intermediária
Foz do Iguaçu,05/02/,26,46.2,-32.1741652041023,Menos viável
Foz do Iguaçu,05/03/,26,50.0,65.1048833395074,Mais viável
Foz do Iguaçu,15/02/,26,46.2,21.012071349304147,Viabilidade intermediária
Foz do Iguaçu,15/03/,26,46.2,36.7452838234381,Viabilidade intermediária
Foz do Iguaçu,25/02/,26,50.0,66.13765879128337,Mais viável
Foz do Iguaçu,25/03/,26,50.0,41.84661460382626,Viabilidade intermediária
Guaraniaçu,05/02/,26,50.0,88.75679692550742,Mais viável
Guaraniaçu,05/03/,26,50.0,97.60716112516957,Mais viável
Guaraniaçu,15/02/,26,50.0,99.05541564955068,Mais viável
Guaraniaçu,15/03/,26,50.0,94.0570567264286,Mais viável
Guaraniaçu,25/02/,26,50.0,103.8360740223762,Mais viável
Guaraniaçu,25/03/,26,50.0,89.23502984619378,Mais viável
Guaíra,05/02/,26,46.2,-12.955408010826668,Menos viável
Guaíra,05/03/,26,50.0,-5.691367236959274,Menos viável
Guaíra,15/02/,26,50.0,-29.29927453207177,Menos viável
Guaíra,15/03/,26,42.3,-25.395282805201454,Menos viável
Guaíra,25/02/,26,50.0,-6.061774246669048,Menos viável
Guaíra,25/03/,26,46.2,4.50095640302576,Menos viável
Ibema,05/02/,26,50.0,85.78668793132076,Mais viável
Ibema,05/03/,26,50.0,98.80025141498793,Mais viável
Ibema,15/02/,26,50.0,95.98414107005557,Mais viável
Ibema,15/03/,26,50.0,96.57945857227031,Mais viável
Ibema,25/02/,26,50.0,106.34048636722726,Mais viável
Ibema,25/03/,26,50.0,92.23588620952904,Mais viável
Iguatu,05/02/,26,50.0,57.23703130021614,Mais viável
Iguatu,05/03/,26,50.0,60.60838844027248,Mais viável
Iguatu,15/02/,26,50.0,47.11172090581621,Viabilidade intermediária
Iguatu,15/03/,26,50.0,57.70353604707972,Mais viável
Iguatu,25/02/,26,50.0,56.336826149629516,Mais viável
Iguatu,25/03/,26,50.0,48.90307062611718,Viabilidade intermediária
Iracema do Oeste,05/02/,26,50.0,45.84385692928102,Viabilidade intermediária
Iracema do Oeste,05/03/,26,50.0,53.123561337292976,Viabilidade intermediária
Iracema do Oeste,15/02/,26,50.0,31.266734526144294,Viabilidade intermediária
Iracema do Oeste,15/03/,26,50.0,48.426079361845524,Viabilidade intermediária
Iracema do Oeste,25/02/,26,50.0,48.75750025589245,Viabilidade intermediária
Iracema do Oeste,25/03/,26,50.0,43.029089952352436,Viabilidade intermediária
Itaipulândia,05/02/,26,42.3,-62.949290800974985,Menos viável
Itaipulândia,05/03/,26,46.2,-20.380988214328077,Menos viável
Itaipulândia,15/02/,26,46.2,-43.35980283576772,Menos viável
Itaipulândia,15/03/,26,46.2,-52.324655372634645,Menos viável
Itaipulândia,25/02/,26,46.2,-27.587648151866574,Menos viável
Itaipulândia,25/03/,26,42.3,-25.614678496106553,Menos viável
Jesuítas,05/02/,26,50.0,45.566311063091725,Viabilidade intermediária
Jesuítas,05/03/,26,50.0,52.50286191941877,Viabilidade intermediária
Jesuítas,15/02/,26,50.0,30.97922445696357,Viabilidade intermediária
Jesuítas,15/03/,26,50.0,48.53806813125789,Viabilidade intermediária
Jesuítas,25/02/,26,50.0,48.30173852036858,Viabilidade intermediária
Jesuítas,25/03/,26,50.0,42.76511752840288,Viabilidade intermediária
Lindoeste,05/02/,26,50.0,24.23651636553895,Viabilidade intermediária
Lindoeste,05/03/,26,53.8,72.64294852078635,Mais viável
Lindoeste,15/02/,26,50.0,57.807403751636585,Mais viável
Lindoeste,15/03/,26,50.0,54.806928791403884,Viabilidade intermediária
Lindoeste,25/02/,26,50.0,80.47867472783119,Mais viável
Lindoeste,25/03/,26,53.8,66.87543254611118,Mais viável
Marechal Cândido Rondon,05/02/,26,46.2,-43.04468972379125,Menos viável
Marechal Cândido Rondon,05/03/,26,46.2,-16.108360017696352,Menos viável
Marechal Cândido Rondon,15/02/,26,46.2,-34.79608629478922,Menos viável
Marechal Cândido Rondon,15/03/,26,42.3,-54.73347760577124,Menos viável
Marechal Cândido Rondon,25/02/,26,46.2,-1.1587208843180774,Menos viável
Marechal Cândido Rondon,25/03/,26,42.3,-27.372549830501995,Menos viável
Maripá,05/02/,26,50.0,21.99730322134682,Viabilidade intermediária
Maripá,05/03/,26,50.0,27.884144102723834,Viabilidade intermediária
Maripá,15/02/,26,46.2,-7.993018072014374,Menos viável
Maripá,15/03/,26,46.2,9.751171088973566,Menos viável
Maripá,25/02/,26,46.2,25.058279910184183,Viabilidade intermediária
Maripá,25/03/,26,50.0,18.2769311220231,Menos viável
Matelândia,05/02/,26,50.0,21.951389602749522,Viabilidade intermediária
Matelândia,05/03/,26,53.8,68.64036668695749,Mais viável
Matelândia,15/02/,26,50.0,53.58751918704721,Viabilidade intermediária
Matelândia,15/03/,26,46.2,49.86160597025251,Viabilidade intermediária
Matelândia,25/02/,26,46.2,78.76343455961174,Mais viável
Matelândia,25/03/,26,53.8,61.89162701904282,Mais viável
Medianeira,05/02/,26,42.3,-21.73330409595765,Menos viável
Medianeira,05/03/,26,46.2,43.763552735608386,Viabilidade intermediária
Medianeira,15/02/,26,46.2,14.90205274977071,Menos viável
Medianeira,15/03/,26,46.2,11.685251335689259,Menos viável
Medianeira,25/02/,26,46.2,34.24478017753577,Viabilidade intermediária
Medianeira,25/03/,26,46.2,32.50349441793523,Viabilidade intermediária
Mercedes,05/02/,26,46.2,-45.354741219169185,Menos viável
Mercedes,05/03/,26,46.2,-21.090252139369795,Menos viável
Mercedes,15/02/,26,46.2,-38.32719325099091,Menos viável
Mercedes,15/03/,26,42.3,-59.02507344043847,Menos viável
Mercedes,25/02/,26,46.2,-7.532510137532077,Menos viável
Mercedes,25/03/,26,42.3,-30.515623318943277,Menos viável
Missal,05/02/,26,42.3,-61.8882427333147,Menos viável
Missal,05/03/,26,46.2,-23.596593045248817,Menos viável
Missal,15/02/,26,46.2,-44.74302128761653,Menos viável
