Municipio,Ano,DOY_semeadura,DOY_maturacao,rep,Tmin_F1,Tmin_F2,Tmin_F3,Tmin_F4,Tmax_F1,Tmax_F2,Tmax_F3,Tmax_F4,Tmed_F1,Tmed_F2,Tmed_F3,Tmed_F4,Chuva_F1,Chuva_F2,Chuva_F3,Chuva_F4,UR_F1,UR_F2,UR_F3,UR_F4,ETc_F1,ETc_F2,ETc_F3,ETc_F4,ETR_F1,ETR_F2,ETR_F3,ETR_F4,ARM_F1,ARM_F2,ARM_F3,ARM_F4,DEF_F1,DEF_F2,DEF_F3,DEF_F4,EXC_F1,EXC_F2,EXC_F3,EXC_F4,ISNA_F1,ISNA_F2,ISNA_F3,ISNA_F4,PA_F1,PA_F2,PA_F3,PA_F4,Amp_F1,Amp_F2,Amp_F3,Amp_F4,Pefetiva_F1,Pefetiva_F2,Pefetiva_F3,Pefetiva_F4,Latitude_F1,Longitude_F1,Altitude_F1,T_DEF_F1,T_DEF_F2,T_DEF_F3,T_DEF_F4,lat_lon_F1,ISNA_zarc_I_F1,ISNA_zarc_III_F1,ISNA_zarc_IV_F1,TmedMin_zarc_III_F1,TminMin_zarc_I_III_F1
Anahy,1999,36,135,0,21.05235294117647,20.04714285714286,17.85030303030303,13.631363636363636,28.960588235294118,30.712142857142855,27.881212121212123,25.577727272727273,25.006470588235295,25.37964285714286,22.865757575757577,19.604545454545455,129.56,75.91,188.68,130.09,85.88058823529411,78.08714285714287,80.5669696969697,80.28590909090909,21.510830294041,89.98769280331027,117.3960951340301,51.35419534758237,20.738066919003717,64.31725246267251,104.69774540984382,33.505400091817826,23.76177777777777,18.561548938014145,33.76267044169559,41.06742675084396,0.7727633750372813,25.670440340637754,12.69834972418628,17.848795255764546,91.58015530321852,16.7929763770911,68.78113308647474,89.2798435990338,0.9640756137966764,0.7147338759229367,0.8918332870468247,0.652437446737157,9358.14571398153,5353.80277941769,5064.251155193097,4712.222342820453,7.908235294117649,10.664999999999996,10.030909090909091,11.946363636363637,6.023012511789986,0.8435597984039834,1.6072084832513867,2.5331912830004906,-24.64418139288288,-53.14382051985132,445.0,22.379681907770866,788.3942309474296,354.0453822493731,456.531617198694,1309.6859528020273,0.9700075428573113,0.8603906441675891,0.6607047678885878,10.36,2.79
Anahy,1999,46,145,0,20.687058823529412,20.3725,15.822424242424242,11.121363636363636,29.68235294117647,30.55142857142857,27.116969696969697,23.12272727272727,25.18470588235294,25.461964285714284,21.46969696969697,17.122045454545454,77.14999999999999,109.33,125.87,127.99,82.6770588235294,78.505,79.44151515151516,79.29636363636364,21.46147317094183,77.61659873766651,116.41653349595455,42.1212990491806,20.55226049222319,63.74398075134458,89.62639766812372,31.150103604433333,16.15115680955292,51.3600659993638,17.702462309196168,27.679632601334465,0.9092126787186394,13.872617986321933,26.790135827830838,10.971195444747266,47.98080492044612,10.37711005884455,69.90120602204391,86.86272610342837,0.9576351226462084,0.8212673807929992,0.7698768806858367,0.739533307556888,8485.729082887363,6210.7142055891445,5496.099742509665,5209.789558255879,8.99529411764706,10.178928571428571,11.294545454545455,12.001363636363635,3.59481380357704,1.4085904533065208,1.08120381375532,3.0386052398469374,-24.64418139288288,-53.14382051985132,445.0,26.987571628319145,423.82829750782975,726.467301420991,253.68396012467883,1309.6859528020273,0.8779750298843877,0.7183069360498782,0.766701920289615,10.36,2.79
Anahy,1999,56,155,0,20.723529411764705,20.12714285714286,13.802424242424243,9.604545454545455,30.66176470588235,30.29642857142857,25.477272727272727,21.78318181818182,25.69264705882353,25.211785714285718,19.639848484848486,15.693863636363636,46.699999999999996,91.7,232.47,47.940000000000005,79.47764705882354,78.8717857142857,80.25818181818181,79.1440909090909,22.123145239905003,75.444645631584,99.54972136515532,37.927090901411646,16.540619592054334,65.47982788702832,72.59571084257222,26.34777981331192,20.979103620140194,29.762146304832736,37.406982390498335,45.98013728708047,5.582525647850668,9.964817744555663,26.954010522583108,11.579311088099722,15.700276787805475,17.437129428279135,152.22945307176218,13.01906529010594,0.7476613027978909,0.867918820996039,0.7292407236006829,0.6946955114960126,7024.002979203402,5632.395086972622,4869.883477900734,4572.524021041833,9.938235294117646,10.16928571428571,11.674848484848484,12.178636363636365,2.11091142301792,1.215460676265817,2.3352149741060932,1.2640041421741544,-24.64418139288288,-53.14382051985132,445.0,171.17008787895062,301.8983890252346,686.7146771776287,252.23423876136502,1309.6859528020273,0.748057299067524,0.6909069264304795,0.6961758201682804,10.36,2.79
Anahy,1999,64,163,0,19.712352941176473,18.798571428571428,12.826363636363636,9.679545454545455,30.7764705882353,28.33178571428571,24.89939393939394,21.11318181818182,25.24441176470588,23.56517857142857,18.86287878787879,15.396363636363638,44.03,188.46,130.45999999999998,116.58,76.59411764705882,81.04678571428572,79.29515151515152,82.36818181818181,21.026292427739165,62.01002407042022,100.5940579232932,32.15010865470378,14.965766000568753,57.87115445042151,64.16335402051342,26.112825813215444,11.33566501699055,44.71928588870771,24.96324278848768,52.160000000000004,6.0605264271704105,4.1388696199987205,36.43070390277978,6.0372828414883335,23.071113626518283,97.20522467786132,86.0526890797066,63.270416975272234,0.7117643803348327,0.933254829649824,0.6378443751562385,0.812215787314142,6338.824323481239,5704.195459545347,4671.292224104051,4495.85323759826,11.064117647058826,9.533214285714283,12.073030303030302,11.433636363636364,2.094044879824507,3.0391860481456976,1.2968956884061749,3.6261152723334127,-24.64418139288288,-53.14382051985132,445.0,186.5216133350329,117.26156717317087,907.10244796473,127.46625032013254,1309.6859528020273,0.7460486638569155,0.6091302654967607,0.8739466062779916,11.85,2.79
Anahy,1999,74,173,0,20.385882352941177,16.00392857142857,11.773939393939395,10.777727272727274,30.641176470588235,26.999285714285715,23.535454545454545,20.68,25.513529411764708,21.501607142857146,17.65469696969697,15.728863636363638,70.75,123.42999999999999,177.92,142.34,78.47235294117647,79.8475,79.70848484848486,87.055,17.870574630760117,61.28821485392541,86.16809394123547,26.88928622862771,14.32350326297883,45.64107565297833,56.47566306703815,24.7408218086213,23.76177777777777,18.920544799459567,48.280664876727464,51.007827842819644,3.5470713677812853,15.647139200947079,29.69243087419732,2.148464420006415,38.23295903861856,82.63015732533987,92.08421685569395,114.87201522528652,0.8015133009950439,0.7446957912179277,0.6554126995724562,0.9200996113567694,6020.649375911952,3715.003688004735,3074.9321420407746,3025.7944874006507,10.255294117647058,10.995357142857145,11.76151515151515,9.902272727272726,3.959022105434708,2.013927152131671,2.0648013883344927,5.293558140210414,-24.64418139288288,-53.14382051985132,445.0,108.68643973395714,422.46158189757045,698.8248571837222,44.43024420573266,1309.6859528020273,0.8243069244502899,0.7298844335833191,0.9256572941025017,10.899999999999999,2.79
Anahy,1999,84,183,0,20.698235294117648,13.948214285714286,10.376060606060607,11.49409090909091,30.074117647058824,25.864285714285717,21.812424242424242,21.331363636363637,25.386176470588236,19.90625,16.094242424242424,16.41272727272727,57.92,230.1,87.5,140.78,80.40588235294118,79.64392857142857,81.01515151515152,88.99318181818181,17.76627382272791,55.34731897042478,74.71213969339878,24.90001034665982,17.016074127541497,34.154265282873745,55.19168257412455,24.634748907777958,17.754210396805213,44.87749218093566,52.160000000000004,52.160000000000004,0.7501996951864132,21.193053687551036,19.520457119274234,0.2652614388818597,29.66971547565329,168.82245293299582,25.025809606811105,116.14525109222204,0.9577739427708976,0.6170897871516471,0.7387244268551049,0.9893469345920395,5801.2195482833495,2469.200230263545,2146.629377577738,2142.055740944541,9.375882352941176,11.916071428571431,11.436363636363636,9.837272727272728,3.2601096086847723,4.157382946099982,1.1711617463919468,5.6538129117237395,-24.64418139288288,-53.14382051985132,445.0,22.561593891823858,548.1431957330165,425.7884920916602,5.658388211493998,1309.6859528020273,0.9626709994592882,0.7351975012865528,0.9891247405502968,10.899999999999999,2.79
Anahy,2000,36,135,0,19.151176470588236,19.759999999999998,17.21909090909091,13.32818181818182,29.606470588235293,28.49857142857143,28.873939393939395,25.985,24.378823529411765,24.129285714285714,23.046515151515152,19.65659090909091,162.52,104.95,105.33,57.21,77.94176470588235,82.71464285714286,74.9469696969697,77.16181818181818,22.536585274081467,81.62115264865932,134.8566049730318,47.177349504658025,13.530366070237768,68.37966518468231,84.76809163455913,39.05654178326845,23.76177777777777,19.233378490790084,39.795286856230945,41.310090894342906,9.0062192038437,13.241487463977016,50.08851333847268,8.120807721389571,130.50239283317921,41.098734102305386,0.0,16.63865417861959,0.6003733886783,0.8377689234434683,0.6285794577989768,0.8278663848932895,7855.354398922997,5943.780497617449,4839.959410042979,4673.335467998891,10.455294117647057,8.738571428571433,11.654848484848486,12.65681818181818,7.211385310751072,1.2858186462002124,0.7810518440758876,1.212658205699992,-24.64418139288288,-53.14382051985132,445.0,266.6423639697984,377.36347631268217,1446.252698467585,211.01918864030802,1309.6859528020273,0.6673717903410915,0.6419389383607244,0.8367999321405003,17.17,9.93
Anahy,2000,46,145,0,19.487058823529413,19.02785714285714,16.105454545454545,11.366818181818182,28.155882352941177,28.5625,28.595757575757574,23.792272727272724,23.821470588235293,23.795178571428572,22.350606060606058,17.579545454545453,161.95,96.06,77.3,48.03,84.16823529411764,81.09964285714285,73.55151515151515,77.80318181818183,20.01145785211155,79.59480759786234,123.22475094907475,38.90332614776293,19.2405626775522,63.95317265373645,79.99428432301512,34.00143531721479,23.76177777777777,41.405778463111005,38.71149414009588,39.36057302465289,0.7708951745593489,15.641634944125887,43.230466626059616,4.9018908305481395,126.48188176689226,14.462826660930311,0.0,13.37948579822819,0.9614773106359161,0.8034842294845126,0.6491738364809069,0.8739981560463561,8484.77447755474,5983.686486394522,4934.069599533106,4809.729225985749,8.668823529411764,9.53464285714286,12.490303030303028,12.425454545454542,8.09286365825224,1.2068626446755788,0.6273090381975767,1.2345988057055086,-24.64418139288288,-53.14382051985132,445.0,21.70523384134308,446.76419809159563,1236.2079435256792,116.62712351971874,1309.6859528020273,0.9670342915282839,0.6386523233332848,0.8618253928199279,17.17,9.93
Anahy,2000,56,155,0,20.132941176470588,18.225,14.511818181818182,9.889999999999999,28.228235294117646,29.107857142857142,26.946666666666665,22.959545454545456,24.180588235294117,23.666428571428572,20.729242424242422,16.424772727272728,81.78,71.68,105.21,27.64,83.83941176470589,78.52,74.59878787878789,76.12636363636364,19.05446946946437,79.76562379505354,102.81167913931662,37.36808931859753,18.439030328159376,58.592285276002166,72.87655328409087,28.273060414312717,18.963945580582433,18.184684878137933,38.12855775173818,37.49549733742546,0.6154391413049932,21.173338519051377,29.935125855225746,9.095028904284806,51.91124631348041,13.86697542644233,12.38957384230887,0.0,0.9677010613026377,0.7345555953595592,0.7088353569766945,0.756609741891236,7805.225404628997,4697.445288704715,4013.5802984011066,3818.2070294474875,8.095294117647057,10.88285714285714,12.434848484848484,13.069545454545457,4.291906428098462,0.8986327266012687,1.0233273192380554,0.7396685381568063,-24.64418139288288,-53.14382051985132,445.0,17.372760889967065,616.3105128499019,806.6518580454831,208.81772953833175,1309.6859528020273,0.9605971458437834,0.81073653460003,0.7679123974051797,14.885,7.94
Anahy,2000,65,164,0,18.89470588235294,17.927857142857142,12.743939393939394,11.159545454545453,28.508235294117647,29.551785714285717,24.98030303030303,23.900454545454544,23.701470588235296,23.739821428571428,18.862121212121213,17.53,36.9,102.4,73.51,32.83,80.16294117647058,74.61464285714285,77.68939393939394,76.19590909090908,19.566208084843076,73.08805843984645,89.32897357624236,36.47846414747594,17.285667620154896,46.678462818745935,71.61166441125594,27.449670539218026,15.422557092126068,46.4186634358114,36.21598074627321,41.59631020705519,2.2805404646881797,26.409595621100515,17.717309164986425,9.028793608257912,11.725997509941255,24.725430837568727,12.101018278282254,0.0,0.8834449447333232,0.6386605940170602,0.8016622328044026,0.7524897547288147,7053.3583085710325,3230.3738564651976,2910.0212875160287,2765.969270992536,9.613529411764706,11.623928571428575,12.236363636363636,12.74090909090909,1.8859045063813111,1.401049667837026,0.8229132951724689,0.8999830658241024,-24.64418139288288,-53.14382051985132,445.0,65.01418416508703,780.4507105957008,442.58375182292605,215.79227123445875,1309.6859528020273,0.8812582185627662,0.7821793371731103,0.7668201953618754,14.885,7.94
