municipio,data_semeadura,n_anos,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico
Formosa do Oeste,25/03/,26,46.2,10.58683622565788,Viabilidade intermediária
Foz do Iguaçu,05/02/,26,50.0,-60.66924177414183,Menos viável
Foz do Iguaçu,05/03/,26,50.0,36.60980676946794,Mais viável
Foz do Iguaçu,15/02/,26,50.0,-7.483005220735427,Viabilidade intermediária
Foz do Iguaçu,15/03/,26,46.2,8.250207253398667,Viabilidade intermediária
Foz do Iguaçu,25/02/,26,50.0,37.64258222124382,Mais viável
Foz do Iguaçu,25/03/,26,53.8,13.351538033786692,Viabilidade intermediária
Guaraniaçu,05/02/,26,53.8,60.26172035546793,Mais viável
Guaraniaçu,05/03/,26,50.0,69.11208455513002,Mais viável
Guaraniaçu,15/02/,26,53.8,70.5603390795111,Mais viável
Guaraniaçu,15/03/,26,50.0,65.56198015638905,Mais viável
Guaraniaçu,25/02/,26,50.0,75.34099745233674,Mais viável
Guaraniaçu,25/03/,26,53.8,60.73995327615432,Mais viável
Guaíra,05/02/,26,46.2,-41.450484580866174,Menos viável
Guaíra,05/03/,26,42.3,-34.18644380699878,Menos viável
Guaíra,15/02/,26,42.3,-57.79435110211132,Menos viável
Guaíra,15/03/,26,42.3,-53.890359375240955,Menos viável
Guaíra,25/02/,26,42.3,-34.55685081670859,Menos viável
Guaíra,25/03/,26,42.3,-23.994120167013726,Menos viável
Ibema,05/02/,26,53.8,57.291611361281184,Mais viável
Ibema,05/03/,26,50.0,70.30517484494834,Mais viável
Ibema,15/02/,26,53.8,67.48906450001606,Mais viável
Ibema,15/03/,26,50.0,68.08438200223075,Mais viável
Ibema,25/02/,26,53.8,77.84540979718787,Mais viável
Ibema,25/03/,26,53.8,63.7408096394895,Mais viável
Iguatu,05/02/,26,50.0,28.741954730176566,Mais viável
Iguatu,05/03/,26,46.2,32.11331187023288,Mais viável
Iguatu,15/02/,26,50.0,18.616644335776808,Viabilidade intermediária
Iguatu,15/03/,26,46.2,29.208459477040186,Mais viável
Iguatu,25/02/,26,50.0,27.84174957959004,Mais viável
Iguatu,25/03/,26,50.0,20.40799405607775,Viabilidade intermediária
Iracema do Oeste,05/02/,26,50.0,17.34878035924152,Viabilidade intermediária
Iracema do Oeste,05/03/,26,46.2,24.628484767253493,Viabilidade intermediária
Iracema do Oeste,15/02/,26,50.0,2.771657956104806,Viabilidade intermediária
Iracema do Oeste,15/03/,26,46.2,19.931002791805966,Viabilidade intermediária
Iracema do Oeste,25/02/,26,46.2,20.262423685852983,Viabilidade intermediária
Iracema do Oeste,25/03/,26,46.2,14.534013382312843,Viabilidade intermediária
Itaipulândia,05/02/,26,46.2,-91.4443673710145,Menos viável
Itaipulândia,05/03/,26,42.3,-48.87606478436753,Menos viável
Itaipulândia,15/02/,26,42.3,-71.85487940580721,Menos viável
Itaipulândia,15/03/,26,42.3,-80.81973194267415,Menos viável
Itaipulândia,25/02/,26,38.5,-56.08272472190611,Menos viável
Itaipulândia,25/03/,26,46.2,-54.109755066146015,Menos viável
Jesuítas,05/02/,26,50.0,17.07123449305221,Viabilidade intermediária
Jesuítas,05/03/,26,46.2,24.00778534937929,Viabilidade intermediária
Jesuítas,15/02/,26,50.0,2.4841478869239975,Viabilidade intermediária
Jesuítas,15/03/,26,46.2,20.042991561218358,Viabilidade intermediária
Jesuítas,25/02/,26,46.2,19.806661950329097,Viabilidade intermediária
Jesuítas,25/03/,26,46.2,14.270040958363412,Viabilidade intermediária
Lindoeste,05/02/,26,46.2,-4.25856020450052,Viabilidade intermediária
Lindoeste,05/03/,26,50.0,44.14787195074686,Mais viável
